,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan
28,EBI-2008-04b,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
29,EBI-2008-04d,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
30,EBI-2008-05a,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
31,EBI-2008-05b,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
32,EBI-2008-05c,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
33,EBI-2008-05d,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
34,EBI-2008-05e,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
35,EBI-2008-06a,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
36,EBI-2008-07b,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
37,EBI-2008-07d,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
38,EBI-2008-07e,N Japan,42.5,141.2,0,0,0,1,0,0,0,0
39,EBI-2008-08a,N Japan,42.3,141,0,0,0,1,0,0,0,0
40,EBI-2008-08b,N Japan,42.3,141,0,0,0,1,0,0,0,0
41,EBI-2008-09a,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
42,EBI-2008-09b,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
43,EBI-2008-09c,N Japan,42.5,140.8,0,0,0.1,0.9,0,0,0,0
44,EBI-2008-09d,N Japan,42.5,140.8,0,0,0.1,0.9,0,0,0,0
45,EBI-2008-10a,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
46,EBI-2008-10c,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
47,EBI-2008-10d,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
48,EBI-2008-10e,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
49,EBI-2008-11b,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
50,EBI-2008-11c,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
51,EBI-2008-11e,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
52,EBI-2008-12a,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
53,EBI-2008-12c,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
54,EBI-2008-12d,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
55,EBI-2008-12e,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
56,EBI-2008-13a,N Japan,42.5,140.8,0,0,0,1,0,0,0,0
57,EBI-2008-13c,N Japan,42.5,140.8,0,0,0,0.9,0,0,0,0
58,EBI-2008-14b,N Japan,42.5,140.8,0,0,0.1,0.9,0,0,0,0
59,EBI-2008-14d,N Japan,42.5,140.8,0,0,0.1,0.9,0,0,0,0
60,EBI-2008-15b,N Japan,42.6,140.5,0,0,0,1,0,0,0,0
61,EBI-2008-16a,N Japan,42.6,140.5,0,0,0.1,0.9,0,0,0,0
62,EBI-2008-16b,N Japan,42.6,140.5,0,0,0,1,0,0,0,0
63,EBI-2008-16c,N Japan,42.6,140.5,0,0,0,1,0,0,0,0
64,EBI-2008-17a,N Japan,42.4,140.3,0,0,0.1,0.9,0,0,0,0
65,EBI-2008-17c,N Japan,42.4,140.3,0,0,0.1,0.9,0,0,0,0
66,EBI-2008-17d,N Japan,42.4,140.3,0,0,0,1,0,0,0,0
67,EBI-2008-18a,N Japan,42.5,140.9,0,0,0.1,0.9,0,0,0,0
68,EBI-2008-18b,N Japan,42.5,140.9,0,0,0,0.9,0,0,0,0
69,EBI-2008-19b,N Japan,42.5,140.9,0,0,0,0.9,0,0,0,0
70,EBI-2008-19c,N Japan,42.5,140.9,0,0,0,1,0,0,0,0
71,EBI-2008-19d,N Japan,42.5,140.9,0,0,0,1,0,0,0,0
72,EBI-2008-20a,N Japan,42.5,140.9,0,0,0.1,0.9,0,0,0,0
73,EBI-2008-20b,N Japan,42.5,140.9,0,0,0,1,0,0,0,0
74,EBI-2008-21a,N Japan,42.5,140.9,0,0,0.1,0.9,0,0,0,0
75,EBI-2008-23b,N Japan,42.5,140.9,0,0,0,1,0,0,0,0
76,EBI-2008-23c,N Japan,42.5,140.9,0,0,0,1,0,0,0,0
77,EBI-2008-24a,N Japan,42.8,140.8,0,0,0,0.9,0,0,0,0
78,EBI-2008-24b,N Japan,42.8,140.8,0,0,0.1,0.9,0,0,0,0
79,EBI-2008-24c,N Japan,42.8,140.8,0,0,0,0.9,0,0,0,0
80,EBI-2008-24d,N Japan,42.8,140.8,0,0,0.1,0.9,0,0,0,0
81,EBI-2008-25b,N Japan,42.9,140.7,0,0,0,1,0,0,0,0
82,EBI-2008-25c,N Japan,42.9,140.7,0,0,0,1,0,0,0,0
83,EBI-2008-25d,N Japan,42.9,140.7,0,0,0,1,0,0,0,0
84,EBI-2008-26c,N Japan,42.9,140.6,0,0,0,1,0,0,0,0
85,EBI-2008-26d,N Japan,42.9,140.6,0,0,0,1,0,0,0,0
86,EBI-2008-26e,N Japan,42.9,140.6,0,0,0,1,0,0,0,0
87,EBI-2008-27b,N Japan,42.9,140.6,0,0,0,0.9,0,0,0,0
88,EBI-2008-27c,N Japan,42.9,140.6,0,0,0,1,0,0,0,0
89,EBI-2008-27d,N Japan,42.9,140.6,0,0,0,0.9,0,0,0,0
90,EBI-2008-27e,N Japan,42.9,140.6,0,0,0,1,0,0,0,0
91,EBI-2008-28a,N Japan,43,140.5,0,0,0,1,0,0,0,0
92,EBI-2008-28b,N Japan,43,140.5,0,0,0,1,0,0,0,0
93,EBI-2008-28c,N Japan,43,140.5,0,0,0,1,0,0,0,0
94,EBI-2008-28d,N Japan,43,140.5,0,0,0,1,0,0,0,0
95,EBI-2008-28e,N Japan,43,140.5,0,0,0,1,0,0,0,0
96,EBI-2008-29a,N Japan,43.1,140.7,0,0,0,1,0,0,0,0
97,EBI-2008-29b,N Japan,43.1,140.7,0,0,0,1,0,0,0,0
98,EBI-2008-30b,N Japan,43.2,141.4,0,0,0,1,0,0,0,0
99,EBI-2008-31a,N Japan,43.3,141.4,0,0,0,1,0,0,0,0
100,EBI-2008-31b,N Japan,43.3,141.4,0,0,0,1,0,0,0,0
101,EBI-2008-31c,N Japan,43.3,141.4,0,0,0,1,0,0,0,0
102,EBI-2008-31d,N Japan,43.3,141.4,0,0,0,1,0,0,0,0
103,EBI-2008-33a,N Japan,43.4,141.6,0,0,0,1,0,0,0,0
104,EBI-2008-33c,N Japan,43.4,141.6,0,0,0,1,0,0,0,0
105,EBI-2008-33d,N Japan,43.4,141.6,0,0,0,1,0,0,0,0
106,EBI-2008-33e,N Japan,43.4,141.6,0,0,0,1,0,0,0,0
107,EBI-2008-34a,N Japan,43.3,141.8,0,0,0,1,0,0,0,0
108,EBI-2008-34b,N Japan,43.3,141.8,0,0,0,1,0,0,0,0
109,EBI-2008-34c,N Japan,43.3,141.8,0,0,0,1,0,0,0,0
110,EBI-2008-34d,N Japan,43.3,141.8,0,0,0,1,0,0,0,0
111,EBI-2008-35a,N Japan,43.3,141.8,0,0,0,1,0,0,0,0
112,EBI-2008-36b,N Japan,43.6,141.7,0,0,0,1,0,0,0,0
113,EBI-2008-36c,N Japan,43.6,141.7,0,0,0,1,0,0,0,0
