"","names","x","Ind.SNP","PC","Trait"
"36","median",-0.152850367513148,"OWA102","PC1","OWA18 "
"37","mean",-0.154439775338737,"OWA102","PC1","OWA18 "
"38","SE.mean",0.00684054774854613,"OWA102","PC1","OWA18 "
"39","CI.mean.0.95",0.0135731308008015,"OWA102","PC1","OWA18 "
"40","var",0.00467930935001395,"OWA102","PC1","OWA18 "
"41","std.dev",0.0684054774854613,"OWA102","PC1","OWA18 "
"42","coef.var",-0.442926553962058,"OWA102","PC1","OWA18 "
"43","nbr.val",100,"OWA102","PC1","OWA19 "
"44","nbr.null",0,"OWA102","PC1","OWA19 "
"45","nbr.na",0,"OWA102","PC1","OWA19 "
"46","min",-0.318276880191526,"OWA102","PC1","OWA19 "
"47","max",0.0626910710488688,"OWA102","PC1","OWA19 "
"48","range",0.380967951240395,"OWA102","PC1","OWA19 "
"49","sum",-8.71071913653709,"OWA102","PC1","OWA19 "
"50","median",-0.0767721325378077,"OWA102","PC1","OWA19 "
"51","mean",-0.0871071913653709,"OWA102","PC1","OWA19 "
"52","SE.mean",0.00618072620134187,"OWA102","PC1","OWA19 "
"53","CI.mean.0.95",0.0122639017018169,"OWA102","PC1","OWA19 "
"54","var",0.00382013763759539,"OWA102","PC1","OWA19 "
"55","std.dev",0.0618072620134187,"OWA102","PC1","OWA19 "
"56","coef.var",-0.709554068322192,"OWA102","PC1","OWA19 "
"57","nbr.val",100,"OWA102","PC1~2","OWA18 "
"58","nbr.null",0,"OWA102","PC1~2","OWA18 "
"59","nbr.na",0,"OWA102","PC1~2","OWA18 "
"60","min",-0.268207415325149,"OWA102","PC1~2","OWA18 "
"61","max",0.0621604638651934,"OWA102","PC1~2","OWA18 "
"62","range",0.330367879190342,"OWA102","PC1~2","OWA18 "
"63","sum",-14.2487691015379,"OWA102","PC1~2","OWA18 "
"64","median",-0.145943161544848,"OWA102","PC1~2","OWA18 "
"65","mean",-0.142487691015379,"OWA102","PC1~2","OWA18 "
"66","SE.mean",0.00594428942742042,"OWA102","PC1~2","OWA18 "
"67","CI.mean.0.95",0.0117947598470235,"OWA102","PC1~2","OWA18 "
"68","var",0.00353345767969421,"OWA102","PC1~2","OWA18 "
"69","std.dev",0.0594428942742042,"OWA102","PC1~2","OWA18 "
"70","coef.var",-0.417179153164805,"OWA102","PC1~2","OWA18 "
"71","nbr.val",100,"OWA102","PC1~2","OWA19 "
"72","nbr.null",0,"OWA102","PC1~2","OWA19 "
"73","nbr.na",0,"OWA102","PC1~2","OWA19 "
"74","min",-0.378469534931097,"OWA102","PC1~2","OWA19 "
"75","max",0.0686826421053835,"OWA102","PC1~2","OWA19 "
"76","range",0.44715217703648,"OWA102","PC1~2","OWA19 "
"77","sum",-8.86962005810344,"OWA102","PC1~2","OWA19 "
"78","median",-0.0774295150010508,"OWA102","PC1~2","OWA19 "
"79","mean",-0.0886962005810344,"OWA102","PC1~2","OWA19 "
