Entry1,Accession ,group,Entry
M. sinensis  'Grosse Fontaine',UI10-00053,M. sinensis,41
M. sinensis  'Haiku',UI12-00005,M. sinensis,42
M. sinensis  'Huron Blush',UI10-00056,M. sinensis,43
M. sinensis  'Huron Sentinel',UI10-00057,M. sinensis,44
M. sinensis  'Huron Sunrise',UI10-00058,M. sinensis,45
M. sinensis  'July (Juli)',UI10-00060,M. sinensis,46
M. sinensis  'Kaskade',UI10-00061,M. sinensis,47
M. sinensis  'Kirk Alexander',UI10-00062,M. sinensis,48
M. sinensis  'Kleine Fontaine',UI10-00063,M. sinensis,49
M. sinensis  'Kleine Silberspinne (Little Silver Spider)',UI10-00064,M. sinensis,50
M. sinensis  'Little Kitten',UI10-00065,M. sinensis,51
M. sinensis  'Little Nickey (syn. Hinjo)',UI10-00066,M. sinensis,52
M. sinensis  'Little Zebra',UI10-00067,M. sinensis,53
M. sinensis  'Minuette',UI10-00070,M. sinensis,54
M. sinensis  'Morning Light',UI10-00071,M. sinensis,55
M. sinensis  'Mt. Washington',UI10-00072,M. sinensis,56
M. sinensis  'Mysterious Maiden',UI10-00073,M. sinensis,57
M. sinensis  'Nippon',UI10-00074,M. sinensis,58
M. sinensis  'November Sunset',UI10-00075,M. sinensis,59
M. sinensis  'Positano',UI11-00009,M. sinensis,60
M. sinensis  'Puenktchen (Little Dot)',UI10-00078,M. sinensis,61
M. sinensis  'Rigoletto',UI10-00079,M. sinensis,62
M. sinensis  'Roland',UI10-00080,M. sinensis,63
M. sinensis  'Roter Pfeil (Red Arrow',UI10-00081,M. sinensis,64
M. sinensis  'Rotsilber',UI10-00082,M. sinensis,65
M. sinensis  'Sarabande',UI10-00083,M. sinensis,66
M. sinensis  'Silberfeder (Silver Feather)'--UI10-00084,UI10-00084,M. sinensis,67
M. sinensis  'Silberfeder (Silver Feather)'--UI10-00085,UI10-00085,M. sinensis,68
M. sinensis  'Silberfeil (Silver Arrow)',UI10-00086,M. sinensis,69
M. sinensis  'Silberspinne (Silver Spider)',UI10-00087,M. sinensis,70
M. sinensis  'Silberturm (Silver Tower)',UI10-00088,M. sinensis,71
M. sinensis  'Sirene',UI10-00089,M. sinensis,72
M. sinensis  'Stardust',UI10-00090,M. sinensis,73
M. sinensis  'Strictus',UI10-00092,M. sinensis,74
M. sinensis  'Super Stripe',UI10-00094,M. sinensis,75
M. sinensis  'Undine',UI10-00096,M. sinensis,76
M. sinensis  'US47-0011',CANE9233,M. sinensis,77
M. sinensis  'US64-0004-02',PI294602,M. sinensis,78
M. sinensis  'Variegatus',UI10-00097,M. sinensis,79
M. sinensis  'Wetterfahne',UI10-00099,M. sinensis,80
M. sinensis  'Yaku Jima',UI10-00100,M. sinensis,81
M. sinensis  'Yaku Jima Dwarf',UI10-00101,M. sinensis,82
M. sinensis  'Zebrinus',UI10-00102,M. sinensis,83
M. sinensis  'Zwergzebra',UI10-00104,M. sinensis,84
M. sinensis var. condensatus  'US64-0007-01',PI294605,M. sinensis var. condensatus,85
M. sinensis var. condensatus 'Cabaret',UI10-00012,M. sinensis var. condensatus,86
M. sinensis var. condensatus 'Cosmopolitan',UI10-00015,M. sinensis var. condensatus,87
M. sinensis var. condensatus--UI10-00017,UI10-00017,M. sinensis,88
M. sinensis var. purpurascens,UI10-00019,M. sinensis var. purpurascens,89
M. sp  'M75-062',PI423566,M. sp,90
M. sp  'US64-0016-03',PI302423,M. sp,91
M. transmorrisonensis,UI10-00106,M. transmorrisonensis,92
M. transmorrisonensis  'Arnin's Weeping',UI10-00105,M. transmorrisonensis,93
Miscanthus sinensis  'Malepartus',UI12-00002,M. sinensis,94
Miscanthus sinensis  'Zwergelefant',UI12-00001,M. sinensis,95
NC-2010-001 B,NC-2010-001 B,M. sinensis,96
NC-2010-001.5 C,NC-2010-001.5 C,M. sinensis,97
NC-2010-001.5-B(18)-a,NC-2010-001.5-B(18)-a,M. sinensis,98
NC-2010-001.5-B(18)-b,NC-2010-001.5-B(18)-b,M. sinensis,99
NC-2010-001-009,NC-2010-001-009,M. sinensis,100
NC-2010-001-010,NC-2010-001-010,M. sinensis,101
NC-2010-001-B(44)-e,NC-2010-001-B(44)-e,M. sinensis,102
NC-2010-002-001,NC-2010-002-001,M. sinensis,103
NC-2010-002-002,NC-2010-002-002,M. sinensis,104
NC-2010-003 D,NC-2010-003 D,M. sinensis,105
NC-2010-003 E,NC-2010-003 E,M. sinensis,106
NC-2010-003-001,NC-2010-003-001,M. sinensis,107
NC-2010-003-B(50)-a,NC-2010-003-B(50)-a,M. sinensis,108
NC-2010-003-B(50)-b,NC-2010-003-B(50)-b,M. sinensis,109
NC-2010-004 E,NC-2010-004 E,M. sinensis,110
NC-2010-004-B(37)-b,NC-2010-004-B(37)-b,M. sinensis,111
NC-2010-004-B(37)-d,NC-2010-004-B(37)-d,M. sinensis,112
OH-2009-001-B(20)-b,OH-2009-001-B(20)-b,M. sinensis,113
OH-2009-001-B(20)-d,OH-2009-001-B(20)-d,M. sinensis,114
PA-2010-001-005,PA-2010-001-005,M. sinensis,115
PA-2010-001-B(63)-a,PA-2010-001-B(63)-a,M. sinensis,116
PA-2010-001-B(63)-c,PA-2010-001-B(63)-c,M. sinensis,117
PA-2010-002 E,PA-2010-002 E,M. sinensis,118
PA-2010-002-004,PA-2010-002-004,M. sinensis,119
PA-2010-002-013,PA-2010-002-013,M. sinensis,120
PA-2010-002-015,PA-2010-002-015,M. sinensis,121
PA-2010-002-B(3)-b,PA-2010-002-B(3)-b,M. sinensis,122
PA-2010-002-B(3)-d,PA-2010-002-B(3)-d,M. sinensis,123
PA-2010-003-B(20)-b,PA-2010-003-B(20)-b,M. sinensis,124
PA-2010-003-B(20)-c,PA-2010-003-B(20)-c,M. sinensis,125
PMS-009,PMS-9,M. sinensis,126
PMS-014,PMS-14,M. sinensis,127
PMS-038,PMS-38,M. sinensis,128
PMS-075,PMS-75,M. sacchariflorus,129
PMS-134,PMS-134,M. sinensis,130
PMS-144,PMS-144,M. sinensis,131
PMS-159,PMS-159,M. sinensis,132
PMS-178,PMS-178,M. sinensis,133
PMS-183,PMS-183,M. sinensis,134
PMS-272,PMS-272,M. sinensis,135
PMS-285,PMS-285,M. sinensis,136
PMS-293,PMS-293,M. sinensis,137
PMS-306,PMS-306,M. sinensis,138
PMS-314,PMS-314,M. sinensis,139
PMS-339,PMS-339,M. sinensis,140
PMS-347,PMS-347,M. sinensis,141
PMS-397,PMS-397,M. sinensis,142
VA-2010-001-022,VA-2010-001-022,M. sinensis,143
VA-2010-001-B(40)-e,VA-2010-001-B(40)-e,M. sinensis,144
Miscanthus sinensis  'PMS-007',PMS-007,M. sinensis,145
Miscanthus sinensis  'PMS-023',PMS-023,M. sinensis,146
Miscanthus sinensis  'PMS-067',PMS-067,M. sinensis,147
Miscanthus sacchariflorus  'PMS-071',PMS-071,M. sacchariflorus,148
Miscanthus sacchariflorus  'PMS-074',PMS-074,M. sacchariflorus,149
Miscanthus sacchariflorus  'PMS-076',PMS-076,M. sacchariflorus,150
