filename,Effect,DAPC_group,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL
CmD_LI,DAPC_group,Sichuan,1.403630004,0.12730438,1.517285305,11.02577939,0.0197894,0.05,0.649784438,2.157475571,0.6,2.768339313,3.991555261,1.730974407
CmDW,DAPC_group,Korea/N China,-0.639478901,0.214685444,66.75010367,-2.978678432,0.00403304,0.05,-1.068022332,-0.210935471,0.15,0.510551867,0.807070215,0.312244109
CmDW,DAPC_group,M. sacchariflorus 2x,0.2361863,0.161038515,27.18274318,1.466644795,0.153947296,0.05,-0.094133531,0.566506132,0.15,1.261244289,1.722399919,0.909550791
CmDW,DAPC_group,Ornamental,0.61570612,0.115182398,7.172261311,5.345487958,0.00098798,0.05,0.344663523,0.886748716,0.15,1.80202622,2.299133465,1.399408566
CmDW,DAPC_group,US naturalized,0.901806888,0.130096782,11.67296569,6.931815513,1.82E-05,0.05,0.617467064,1.186146713,0.15,2.32986297,2.97927257,1.804933187
CmDW,DAPC_group,M. xgiganteus 2x,1.516309663,0.217386043,85.21024134,6.975193251,1.00E-09,0.05,1.084103364,1.948515962,0.15,3.920580359,5.525500834,2.730490916
CmDW,DAPC_group,Yangtze-Qinling,1.721876972,0.122163117,9.086592076,14.09490046,1.75E-07,0.05,1.445925727,1.997828218,0.15,4.625785758,5.739799535,3.701173411
CmDW,DAPC_group,SE China/tropical,2.243783917,0.125140766,10.00610677,17.93007981,6.00E-09,0.05,1.964975979,2.522591854,0.15,6.917346017,8.494637649,5.596262455
CmDW,DAPC_group,Sichuan,2.370950447,0.131625005,12.2376035,18.01291825,0,0.05,2.084780547,2.657120346,0.15,7.602702232,9.358883078,6.134901265
CmDW,DAPC_group,M. xgiganteus 3x,2.580862371,0.217386043,85.21024134,11.87225422,0,0.05,2.148656072,3.01306867,0.15,8.860259023,12.01429469,6.439663485
