Entry1,filename,Effect,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL,Individual,DAPC.group,Latitude,Longitude,group
PA-2010-001-005,CmN,Entry1,3.382482413,0.214304925,132,15.78350296,3.46E-32,0.05,2.95856609,3.806398737,0.325,9.794962953,11.91085337,7.948677543,PA-2010-001-005,US naturalized,40.078,-75.482,M. sinensis
PA-2010-002 E,CmN,Entry1,2.816898836,0.313529848,132,8.984467835,0,0.05,2.196705806,3.437091865,0.325,7.388478007,10.05200395,5.247811555,PA-2010-002 E,US naturalized,39.954,-75.39,M. sinensis
PA-2010-002-004,CmN,Entry1,3.274008081,0.220277689,132,14.8630944,5.66E-30,0.05,2.83827704,3.709739122,0.325,9.297615628,11.40367692,7.471249493,PA-2010-002-004,US naturalized,39.954,-75.39,M. sinensis
PA-2010-002-013,CmN,Entry1,3.227744335,0.237954264,132,13.56455765,8.61E-27,0.05,2.75704728,3.698441389,0.325,9.090790901,11.34536657,7.160042957,PA-2010-002-013,US naturalized,39.954,-75.39,M. sinensis
PA-2010-002-015,CmN,Entry1,3.598735674,0.313529848,132,11.47812783,0,0.05,2.978542644,4.218928703,0.325,10.83946029,14.24692435,8.029906628,PA-2010-002-015,US naturalized,39.954,-75.39,M. sinensis
PA-2010-002-B(3)-b,CmN,Entry1,3.497096749,0.313545563,132,11.15339257,0,0.05,2.876872635,4.117320864,0.325,10.33964803,13.64520497,7.62226369,PA-2010-002-B(3)-b,US naturalized,39.954,-75.39,M. sinensis
PMS-009,CmN,Entry1,2.783404462,0.214304925,132,12.98805646,2.32E-25,0.05,2.359488139,3.207320786,0.325,7.260043672,9.000483031,5.762381841,PMS-009,Sichuan,30.58,109.71,M. sinensis
PMS-014,CmN,Entry1,3.433285584,0.214304925,132,16.02056316,9.46E-33,0.05,3.00936926,3.857201907,0.325,10.03394228,12.18342269,8.156350988,PMS-014,Sichuan,29.66,109.12,M. sinensis
PMS-038,CmN,Entry1,3.840727623,0.214304925,132,17.92178891,3.61E-37,0.05,3.4168113,4.264643947,0.325,12.09457852,14.52339299,9.956020628,PMS-038,Sichuan,30.58,105.24,M. sinensis
PMS-075,CmN,Entry1,3.788887334,0.214304925,132,17.67988924,1.29E-36,0.05,3.36497101,4.212803657,0.325,11.81786373,14.21015445,9.713487901,PMS-075,M. sacchariflorus 2x,40.13,116.18,M. sacchariflorus
PMS-134,CmN,Entry1,2.729146584,0.214304925,132,12.73487573,9.94E-25,0.05,2.305230261,3.153062908,0.325,7.05520355,8.76351326,5.587251734,PMS-134,Yangtze-Qinling,33.76,105.8,M. sinensis
PMS-144,CmN,Entry1,2.980947367,0.214304925,132,13.90984071,1.21E-27,0.05,2.557031043,3.40486369,0.325,8.039722383,9.899765914,6.431280279,PMS-144,Yangtze-Qinling,34.25,106.93,M. sinensis
PMS-159,CmN,Entry1,2.793797908,0.227479822,132,12.28151965,0,0.05,2.343820335,3.243775481,0.325,7.299734776,9.162103621,5.711435368,PMS-159,Yangtze-Qinling,34.13,111.04,M. sinensis
PMS-178,CmN,Entry1,3.292742363,0.214304925,132,15.36475359,3.48E-31,0.05,2.86882604,3.716658686,0.325,9.382263808,11.43949017,7.590611107,PMS-178,Yangtze-Qinling,34.51,113.04,M. sinensis
PMS-183,CmN,Entry1,3.507429454,0.214304925,132,16.36653688,1.44E-33,0.05,3.083513131,3.931345777,0.325,10.38973377,12.58872923,8.465963406,PMS-183,Yangtze-Qinling,31.75,115.49,M. sinensis
PMS-272,CmN,Entry1,2.816898836,0.313529848,132,8.984467835,0,0.05,2.196705806,3.437091865,0.325,7.388478007,10.05200395,5.247811555,PMS-272,Yangtze-Qinling,28.73,116.44,M. sinensis
PMS-285,CmN,Entry1,3.602086091,0.214304925,132,16.80822825,1.33E-34,0.05,3.178169767,4.026002414,0.325,10.856208,13.11926788,8.872636324,PMS-285,Yangtze-Qinling,29.64,118.16,M. sinensis
PMS-293,CmN,Entry1,4.10875922,0.214304925,132,19.1724909,5.70E-40,0.05,3.684842897,4.532675544,0.325,13.59530136,16.21753921,11.27544876,PMS-293,SE China/tropical,31.35,119.68,M. sinensis
PMS-306,CmN,Entry1,3.489442018,0.214304925,132,16.28260303,2.27E-33,0.05,3.065525694,3.913358341,0.325,10.30264851,12.48957779,8.390134744,PMS-306,Yangtze-Qinling,29.89,119.84,M. sinensis
PMS-314,CmN,Entry1,4.017256063,0.214304925,132,18.74551444,5.04E-39,0.05,3.593339739,4.441172386,0.325,13.0696246,15.62496552,10.81252434,PMS-314,Yangtze-Qinling,26.53,119.63,M. sinensis
PMS-347,CmN,Entry1,3.74387793,0.227482328,132,16.45788471,8.77E-34,0.05,3.2938954,4.193860459,0.325,11.58110423,14.09684007,9.387490567,PMS-347,SE China/tropical,24.17,115.88,M. sinensis
PMS-397,CmN,Entry1,4.533238991,0.214304925,132,21.15321893,3.12E-44,0.05,4.109322668,4.957155315,0.325,16.22123431,19.16555105,13.59858176,PMS-397,SE China/tropical,24.4,109.98,M. sinensis
