Entry1,filename,Effect,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL,Individual,DAPC.group,Latitude,Longitude,group
M. sinensis  'Andante',CmN,Entry1,2.77268537,0.214304925,132,12.93803851,3.09E-25,0.05,2.348769046,3.196601693,0.325,7.219261832,8.953329091,5.727493936,UI10-00023,Ornamental,NA,NA,M. sinensis
M. sinensis  'Arabesque',CmN,Entry1,2.496853159,0.251767828,132,9.917284424,0,0.05,1.99883151,2.994874808,0.325,6.222248556,8.09673166,4.665237679,UI10-00024,Ornamental,NA,NA,M. sinensis
M. sinensis  'Autumn Light',CmN,Entry1,2.75077166,0.275130356,132,9.99806672,0,0.05,2.20653662,3.295006699,0.325,7.136370711,9.392529987,5.277970439,UI10-00025,Ornamental,NA,NA,M. sinensis
M. sinensis  'Ben Graz',CmN,Entry1,2.601826623,0.214304925,132,12.14076917,0,0.05,2.177910299,3.025742946,0.325,6.589921941,8.224055712,5.190475072,UI10-00026,Ornamental,NA,NA,M. sinensis
M. sinensis  'Ben Rotkopf',CmN,Entry1,3.4892812,0.313529848,132,11.12902399,0,0.05,2.86908817,4.109474229,0.325,10.30187215,13.59946424,7.591640837,UI10-00027,Ornamental,NA,NA,M. sinensis
M. sinensis  'Berlin',CmN,Entry1,3.108504512,0.254810234,132,12.19929227,0,0.05,2.604464684,3.61254434,0.325,8.572084132,10.90859792,6.599346011,UI10-00028,Ornamental,NA,NA,M. sinensis
M. sinensis  'Bitsy Ben',CmN,Entry1,2.855156965,0.418400494,132,6.82398087,0,0.05,2.027519433,3.682794497,0.325,7.537045169,11.26494201,4.74684622,UI10-00029,Ornamental,NA,NA,M. sinensis
M. sinensis  'Blondo',CmN,Entry1,3.198192544,0.214304925,132,14.92356066,4.04E-30,0.05,2.774276221,3.622108868,0.325,8.960316778,10.95665997,7.225304584,UI10-00030,Ornamental,NA,NA,M. sinensis
M. sinensis  'Bluetenwunder',CmN,Entry1,2.333982118,0.275129695,132,8.483206862,0,0.05,1.789748387,2.87821585,0.325,5.679600674,7.627556106,4.098856735,UI10-00031,Ornamental,NA,NA,M. sinensis
M. sinensis  'Bodacious Ben',CmN,Entry1,3.173435603,0.214304925,132,14.80803862,7.69E-30,0.05,2.749519279,3.597351926,0.325,8.85199025,10.83254845,7.131652941,UI10-00032,Ornamental,NA,NA,M. sinensis
