Order in barchart,Individual,Accession,Alt ID,Latitude,Longitude,Prefecture (Japan),Collection type,Species based on morphology,Study,"Korea, N China",Yangtze-Qinling,Central Japan,North Japan,SE China,South Japan,Msa,Sichuan,DAPC group,Included in sPCA?,Sac-17,Sac-26,Sac-10,Sac-13,Sac-2,Sac-3,Mcp-10,Mcp-16,Mcp-2,Mcp-5,plastid haplotype ID (letter),plastid haplotype  ID (number),DNA content (pg/2C),Ploidy
61,Gifu-2010-007,Gifu-2010-007,JPN-2011-017,35.44,136.8,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0.02,0,0.063,0,0,0.001,0.914,0,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.22,4x
43,Gifu-2010-008,Gifu-2010-008,JPN-2011-013,35.44,136.8,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0.052,0,0,0,0.001,0.001,0.944,0.001,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.71,4x
243,Gifu-2010-010a,Gifu-2010-010,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.669,0.06,0,0.271,0,0,3,yes,255,194,294,305,266,285,216,225,228,242,I,18,,
247,Gifu-2010-010b,Gifu-2010-010,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.695,0.041,0,0.264,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
242,Gifu-2010-010-B30a,Gifu-2010-010-B30,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.649,0.078,0,0.272,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
262,Gifu-2010-010-B30b,Gifu-2010-010-B30,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0.001,0,0.677,0.077,0,0.239,0.005,0,3,yes,251,194,294,306,269,287,215,226,227,249,,12,,
259,Gifu-2010-010-B30c,Gifu-2010-010-B30,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.691,0.067,0,0.241,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
261,Gifu-2010-010-B30d,Gifu-2010-010-B30,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.697,0.062,0,0.24,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
274,Gifu-2010-010-B30e,Gifu-2010-010-B30,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.721,0.058,0,0.22,0,0,3,yes,255,194,294,305,266,285,216,225,228,242,I,18,,
311,Gifu-2010-010c,Gifu-2010-010,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.79,0.025,0,0.184,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
251,Gifu-2010-010e,Gifu-2010-010,,36.26,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.681,0.057,0,0.261,0,0,3,yes,255,194,294,305,266,285,216,225,228,242,I,18,,
42,Gifu-2010-011,Gifu-2010-011,JPN-2011-003,36.28,136.9,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0.001,0.011,0.001,0.031,0.004,0.001,0.945,0.007,7,no,248,193,296,308,267,283,213,225,226,259,,22,8.18,4x
21,Gifu-2010-011a,Gifu-2010-011,,36.28,136.9,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0,0.001,0.008,0.012,0,0.005,0.971,0.001,7,no,248,193,296,308,267,283,213,225,226,259,,22,8.43,4x
33,Gifu-2010-011b,Gifu-2010-011,,36.28,136.9,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.001,0,0.032,0.009,0,0.002,0.955,0.001,7,no,248,193,296,308,267,283,213,225,226,259,,22,8.67,4x
32,Gifu-2010-011c,Gifu-2010-011,,36.28,136.9,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.003,0,0.009,0.015,0.001,0.015,0.956,0,7,no,248,193,296,308,267,283,213,225,226,259,,22,8.72,4x
55,Gifu-2010-011d,Gifu-2010-011,,36.28,136.9,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.025,0,0.024,0.003,0.002,0.017,0.927,0.002,7,no,248,193,296,308,267,283,213,225,226,259,,22,8.71,4x
254,Gifu-2010-013a,Gifu-2010-013,,36.42,136.93,Toyama,seed,M. sinensis,Japan dense-sampling,0,0,0.711,0.038,0,0.249,0,0,3,yes,251,194,295,306,270,287,215,226,227,249,,8,,
253,Gifu-2010-013b,Gifu-2010-013,,36.42,136.93,Toyama,seed,M. sinensis,Japan dense-sampling,0,0,0.738,0.01,0,0.252,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
271,Gifu-2010-013c,Gifu-2010-013,,36.42,136.93,Toyama,seed,M. sinensis,Japan dense-sampling,0,0,0.735,0.04,0,0.224,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
263,Gifu-2010-013d,Gifu-2010-013,,36.42,136.93,Toyama,seed,M. sinensis,Japan dense-sampling,0,0,0.676,0.085,0,0.239,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
264,Gifu-2010-013e,Gifu-2010-013,,36.42,136.93,Toyama,seed,M. sinensis,Japan dense-sampling,0,0,0.752,0.009,0,0.238,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
67,Gifu-2010-014,Gifu-2010-014,JPN-2011-016,36.17,137.24,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0.05,0.001,0.015,0,0,0.041,0.889,0.003,7,no,248,193,296,307,267,283,212,224,226,259,,48,8.29,4x
74,Gifu-2010-014a,Gifu-2010-014,,36.17,137.24,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0,0,0.081,0.195,0,0.019,0.705,0,7,no,248,194,294,307,267,283,213,224,226,258,,23,8.21,4x
69,Gifu-2010-014c,Gifu-2010-014,,36.17,137.24,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0,0,0.049,0.047,0,0.035,0.868,0,7,no,248,194,294,307,267,283,213,224,226,258,,23,8.66,4x
60,Gifu-2010-014d,Gifu-2010-014,,36.17,137.24,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0,0,0.033,0.021,0.001,0.026,0.918,0,7,no,248,194,294,307,267,283,213,224,226,258,,23,8.5,4x
249,Gifu-2010-015b,Gifu-2010-015,,36.17,137.24,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.708,0.028,0.001,0.263,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
240,Gifu-2010-015c,Gifu-2010-015,,36.17,137.24,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.667,0.054,0.001,0.279,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
250,Gifu-2010-015e,Gifu-2010-015,,36.17,137.24,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.677,0.06,0,0.262,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
64,Gifu-2010-016,Gifu-2010-016,JPN-2011-004,36.17,137.31,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0.038,0.007,0,0.048,0.905,0.001,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.46,4x
238,Gifu-2010-017a,Gifu-2010-017,,36.18,137.45,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.651,0.066,0,0.282,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
248,Gifu-2010-017b,Gifu-2010-017,,36.18,137.45,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.684,0.051,0,0.264,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
233,Gifu-2010-017c,Gifu-2010-017,,36.18,137.45,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.656,0.049,0,0.294,0.001,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
252,Gifu-2010-017d,Gifu-2010-017,,36.18,137.45,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.656,0.085,0,0.258,0,0,3,yes,251,194,294,306,270,286,215,226,249,249,,24,,
232,Gifu-2010-017e,Gifu-2010-017,,36.18,137.45,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.646,0.058,0,0.295,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
246,Gifu-2010-018c,Gifu-2010-018,,36.22,137.54,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.675,0.057,0,0.267,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,5.36,2x
244,Gifu-2010-018e,Gifu-2010-018,,36.22,137.54,Gifu,seed,M. sinensis,Japan dense-sampling,0.001,0,0.644,0.085,0,0.269,0.001,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
226,Gifu-2010-019a,Gifu-2010-019,,36.28,137.58,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.651,0.046,0,0.303,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
228,Gifu-2010-019b,Gifu-2010-019,,36.28,137.58,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.644,0.054,0,0.302,0,0,3,yes,255,194,294,305,266,285,216,224,228,242,J,7,,
231,Gifu-2010-019c,Gifu-2010-019,,36.28,137.58,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.644,0.057,0,0.297,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
255,Gifu-2010-019e,Gifu-2010-019,,36.28,137.58,Gifu,seed,M. sinensis,Japan dense-sampling,0.001,0,0.716,0.037,0.001,0.244,0.001,0,3,yes,251,194,294,306,270,287,215,NA,227,249,,NA,,
40,Gifu-2010-020,Gifu-2010-020,JPN-2011-014,35.87,136.86,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0.033,0.001,0,0,0.948,0.017,7,no,250,194,295,306,267,283,213,222,227,258,,25,8.48,4x
29,Gifu-2010-020a,Gifu-2010-020,,35.87,136.86,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.001,0.001,0.026,0.01,0,0.001,0.961,0,7,no,250,194,295,306,267,283,213,222,227,258,,25,8.41,4x
31,Gifu-2010-020b,Gifu-2010-020,,35.87,136.86,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.001,0,0.021,0.016,0,0.004,0.958,0,7,no,250,194,295,306,267,283,213,222,227,258,,25,,
24,Gifu-2010-020c,Gifu-2010-020,,35.87,136.86,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.001,0,0.014,0.014,0,0.002,0.969,0,7,no,250,194,295,306,267,283,213,222,227,258,,25,8.38,4x
72,Gifu-2010-020d,Gifu-2010-020,,35.87,136.86,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0,0,0,0.255,0,0,0.744,0,7,no,250,194,295,306,267,283,213,222,227,258,,25,8.43,4x
221,Gifu-2010-021a,Gifu-2010-021,,35.87,136.86,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.616,0.068,0.001,0.314,0,0.001,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
239,Gifu-2010-021b,Gifu-2010-021,,35.87,136.86,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.669,0.049,0.001,0.28,0.001,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
229,Gifu-2010-021c,Gifu-2010-021,,35.87,136.86,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.677,0.021,0,0.301,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
212,Gifu-2010-021d,Gifu-2010-021,,35.87,136.86,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.63,0.02,0,0.348,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,5.13,2x
214,Gifu-2010-021e,Gifu-2010-021,,35.87,136.86,Gifu,seed,M. sinensis,Japan dense-sampling,0.001,0.001,0.602,0.052,0.001,0.339,0.004,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
44,Gifu-2010-022,Gifu-2010-022,JPN-2011-020,35.64,136.95,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0.017,0,0.033,0.001,0.001,0.005,0.942,0,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.78,4x
11,Gifu-2010-022a,Gifu-2010-022,,35.64,136.95,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.001,0.001,0.003,0.007,0.002,0.004,0.981,0.002,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.34,4x
237,Gifu-2010-023a,Gifu-2010-023,,35.64,136.95,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.71,0.006,0.001,0.283,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
241,Gifu-2010-023b,Gifu-2010-023,,35.64,136.95,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.685,0.039,0,0.274,0,0.001,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
225,Gifu-2010-023c,Gifu-2010-023,,35.64,136.95,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.684,0.007,0.001,0.308,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
222,Gifu-2010-023d,Gifu-2010-023,,35.64,136.95,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.62,0.065,0.002,0.313,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
66,Gifu-2010-024,Gifu-2010-024,JPN-2011-012,35.64,136.95,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0,0.028,0,0,0.891,0.081,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.5,4x
78,Gifu-2010-025,Gifu-2010-025,JPN-2011-021,35.5,136.88,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0.25,0.02,0,0.15,0.578,0,7,no,248,193,296,307,267,283,213,224,226,259,,1,6.83,3x
230,Gifu-2010-026a,Gifu-2010-026,,35.5,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.626,0.072,0.002,0.299,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,5.45,2x
218,Gifu-2010-026b,Gifu-2010-026,,35.5,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0.001,0.633,0.032,0.002,0.331,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
245,Gifu-2010-026c,Gifu-2010-026,,35.5,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.714,0.016,0.001,0.269,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
257,Gifu-2010-026d,Gifu-2010-026,,35.5,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.717,0.037,0.001,0.244,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
224,Gifu-2010-026e,Gifu-2010-026,,35.5,136.88,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.654,0.034,0,0.311,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
35,Gifu-2010-027,Gifu-2010-027,JPN-2011-005,35.39,136.7,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0,0.001,0.001,0.002,0.013,0.004,0.953,0.027,7,no,248,193,296,307,268,283,213,224,226,259,,46,8.25,4x
50,Gifu-2010-028,Gifu-2010-028,JPN-2011-015,35.37,136.68,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0.04,0.001,0,0.021,0.001,0,0.936,0.001,7,no,247,193,296,307,267,283,213,224,226,259,,47,8.47,4x
205,Gifu-2010-029.1c,Gifu-2010-029.1,,35.37,136.68,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.52,0.058,0,0.419,0.001,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
206,Gifu-2010-029.1d,Gifu-2010-029.1,,35.37,136.68,Gifu,seed,M. sinensis,Japan dense-sampling,0.001,0.002,0.56,0.044,0,0.392,0.002,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
213,Gifu-2010-029.2b,Gifu-2010-029.2,,35.37,136.68,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.638,0.015,0.001,0.346,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
208,Gifu-2010-029.2c,Gifu-2010-029.2,,35.37,136.68,Gifu,seed,M. sinensis,Japan dense-sampling,0,0,0.553,0.066,0.001,0.38,0,0,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
220,Gifu-2010-029.2d,Gifu-2010-029.2,,35.37,136.68,Gifu,seed,M. sinensis,Japan dense-sampling,0.001,0.001,0.605,0.074,0.001,0.318,0,0.001,3,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
63,Gifu-2010-030,Gifu-2010-030,JPN-2011-006,35.32,136.69,Gifu,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0.001,0.044,0,0.048,0.905,0.001,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.47,4x
12,Gifu-2010-030a,Gifu-2010-030,,35.32,136.69,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.01,0,0.004,0.004,0,0.001,0.981,0,7,no,248,193,296,306,267,284,213,224,226,259,,26,,
17,Gifu-2010-030b,Gifu-2010-030,,35.32,136.69,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0,0.002,0.001,0.02,0.001,0.001,0.975,0,7,no,248,193,296,306,267,284,213,224,226,259,,26,,
7,Gifu-2010-030c,Gifu-2010-030,,35.32,136.69,Gifu,seed,M. sacchariflorus,Japan dense-sampling,0.001,0,0.004,0.002,0.001,0.001,0.988,0.003,7,no,248,193,296,306,267,284,213,224,226,259,,26,8.62,4x
8,"Hokkaido U, Livestock Farm-2","Hokkaido U, Livestock Farm-2",JPN-2011-008,42.43,142.48,Hokkaido,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0,0.011,0,0,0.984,0.004,7,no,248,193,296,306,267,284,213,224,226,259,,26,8.51,4x
30,Hokkaido Univ-selection-1,Hokkaido Univ-selection-1,JPN-2011-011,31.53,131.24,Miyazaki,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0.004,0,0.007,0.03,0.959,0,7,no,248,193,296,307,267,284,213,224,226,259,,5,8.52,4x
65,Hokkaido Univ-selection-2,Hokkaido Univ-selection-2,JPN-2011-022,31.53,131.24,Miyazaki,clonal,M. sacchariflorus,Japan dense-sampling,0,0,0.001,0,0,0.054,0.904,0.04,7,no,248,193,296,307,267,284,213,224,226,259,,5,8.43,4x
59,Hokkaido Univ-selection-3,Hokkaido Univ-selection-3,JPN-2011-023,31.53,131.24,Miyazaki,clonal,M. sacchariflorus,Japan dense-sampling,0.001,0.002,0,0,0.042,0.003,0.919,0.033,7,no,248,193,296,307,267,284,213,224,226,259,,5,8.28,4x
181,Hokkaido Univ-selection-4,Hokkaido Univ-selection-4,JPN-2011-024,31.45,131.05,Miyazaki,clonal,M. sinensis,Japan dense-sampling,0.004,0.011,0.119,0.001,0.042,0.774,0.006,0.043,6,yes,255,194,294,305,266,285,216,225,228,242,I,18,,
45,Hokkaido Univ-selection-5,Hokkaido Univ-selection-5,JPN-2011-025,32.01,130.56,Miyazaki,clonal,M. sacchariflorus,Japan dense-sampling,0.056,0,0.001,0,0,0.001,0.941,0,7,no,248,193,296,307,267,283,213,224,226,259,,1,8.44,4x
459,JA10-2a,JA10-2,,42.47,140.87,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.302,0.678,0.001,0.019,0,0.001,4,yes,255,194,294,305,266,285,216,224,228,242,J,7,,
433,JA11-1a,JA11-1,,39.55,141.16,Iwate,seed,M. sinensis,Japan dense-sampling,0.001,0,0.368,0.585,0.001,0.041,0.003,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
431,JA11-1b,JA11-1,,39.55,141.16,Iwate,seed,M. sinensis,Japan dense-sampling,0,0,0.373,0.598,0,0.027,0.002,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
463,JA11-1c,JA11-1,,39.55,141.16,Iwate,seed,M. sinensis,Japan dense-sampling,0,0,0.298,0.692,0,0.01,0,0.001,4,yes,255,194,294,305,266,285,216,224,228,242,J,7,,
439,JA11-1e,JA11-1,,39.55,141.16,Iwate,seed,M. sinensis,Japan dense-sampling,0,0,0.341,0.604,0.001,0.054,0,0,4,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
774,JA13a,JA13,,43.85,142.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.008,0.991,0,0.001,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
624,JA13b,JA13,,43.85,142.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.037,0.961,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
687,JA13c,JA13,,43.85,142.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.022,0.976,0,0.002,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
807,JA13d,JA13,,43.85,142.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.004,0.995,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
365,JA14b,JA14,,37.29,140.31,Fukushima,seed,M. sinensis,Japan dense-sampling,0,0,0.697,0.169,0.004,0.129,0,0,3,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
510,JA15a,JA15,,40.28,140.49,Akita,seed,M. sinensis,Japan dense-sampling,0.001,0.001,0.191,0.795,0.001,0.008,0.001,0.003,4,yes,255,194,294,305,267,285,216,224,228,242,,21,,
517,JA15b,JA15,,40.28,140.49,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.157,0.839,0,0.003,0,0,4,yes,255,194,294,305,266,285,216,224,228,242,J,7,,
506,JA15c,JA15,,40.28,140.49,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.198,0.8,0,0,0,0,4,yes,255,194,294,305,266,285,216,224,228,242,J,7,,
505,JA15d,JA15,,40.28,140.49,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.2,0.799,0,0.001,0,0,4,yes,255,194,294,305,267,285,216,224,228,242,,21,,
513,JA15e,JA15,,40.28,140.49,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.184,0.814,0,0.001,0,0.001,4,yes,255,194,294,305,267,285,216,224,228,242,,21,,
265,JA16a,JA16,,36.02,138.5,Nagano,seed,M. sinensis,Japan dense-sampling,0,0,0.669,0.094,0,0.236,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
295,JA16b,JA16,,36.02,138.5,Nagano,seed,M. sinensis,Japan dense-sampling,0,0,0.732,0.069,0,0.198,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,5.26,2x
307,JA16c,JA16,,36.02,138.5,Nagano,seed,M. sinensis,Japan dense-sampling,0,0.001,0.726,0.081,0.001,0.191,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
314,JA16d,JA16,,36.02,138.5,Nagano,seed,M. sinensis,Japan dense-sampling,0,0,0.742,0.079,0,0.177,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
301,JA16e,JA16,,36.02,138.5,Nagano,seed,M. sinensis,Japan dense-sampling,0,0,0.756,0.048,0,0.195,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
429,JA17-1a,JA17-1,,39.7,140.73,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.382,0.617,0,0.001,0,0,4,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
452,JA17-1b,JA17-1,,39.7,140.73,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.309,0.631,0,0.059,0,0,4,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
441,JA17-1c,JA17-1,,39.7,140.73,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.333,0.63,0,0.036,0,0,4,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
448,JA17-1d,JA17-1,,39.7,140.73,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.313,0.628,0,0.059,0,0,4,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
430,JA17-2a,JA17-2,,39.45,140.48,Akita,seed,M. sinensis,Japan dense-sampling,0,0,0.378,0.593,0.002,0.025,0,0,4,yes,251,194,294,306,270,286,215,226,227,249,M,13,,
266,JA19a,JA19,,36.74,136.83,Toyama,seed,M. sinensis,Japan dense-sampling,0,0,0.73,0.035,0,0.234,0,0,3,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
347,JA19b,JA19,,36.74,136.83,Toyama,seed,M. sinensis,Japan dense-sampling,0.004,0.001,0.733,0.109,0.002,0.15,0.001,0,3,yes,251,194,294,306,270,287,215,225,227,249,A,28,,
850,JA1a,JA1,,44.98,142.08,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.001,0.995,0,0.002,0,0.001,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,5.03,2x
808,JA1b,JA1,,44.98,142.08,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.001,0.001,0.004,0.993,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
809,JA1c,JA1,,44.98,142.08,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.004,0.995,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
781,JA1d,JA1,,44.98,142.08,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.007,0.986,0.006,0.001,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
626,JA1e,JA1,,44.98,142.08,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.036,0.961,0,0.002,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
383,JA21-1a,JA21-1,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0.001,0.001,0.513,0.482,0,0.003,0,0,3,no,255,193,295,305,266,285,216,225,228,242,N,29,,
398,JA21-1c,JA21-1,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0,0,0.459,0.477,0,0.063,0,0,3,no,255,194,295,305,266,285,216,225,228,242,H,27,,
396,JA21-1d,JA21-1,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0,0,0.463,0.505,0,0.031,0,0,3,no,255,194,295,305,266,285,216,225,228,242,H,27,,
394,JA21-1e,JA21-1,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0.001,0,0.468,0.479,0.001,0.051,0,0,3,no,255,193,295,305,266,285,216,225,228,242,N,29,,
392,JA21-2a,JA21-2,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0,0,0.473,0.491,0,0.035,0,0,3,no,251,194,294,306,270,287,215,227,227,249,,30,,
395,JA21-2b,JA21-2,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0,0,0.464,0.488,0,0.047,0,0,3,no,255,194,295,305,266,285,216,225,228,242,H,27,5.43,2x
420,JA21-2c,JA21-2,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0.006,0.001,0.397,0.486,0.008,0.093,0.004,0.005,3,no,255,194,295,305,266,285,216,225,228,242,H,27,,
416,JA21-2d,JA21-2,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0,0,0.421,0.526,0,0.052,0,0,3,no,251,194,294,306,270,287,215,227,227,249,,30,,
385,JA21-2e,JA21-2,,NA,NA,Yamagata,seed,M. sinensis,Japan dense-sampling,0,0,0.486,0.457,0,0.056,0,0,3,no,251,194,294,306,270,287,215,227,227,249,,30,,
514,JA22a,JA22,,40.97,141.37,Aomori,seed,M. sinensis,Japan dense-sampling,0,0.001,0.175,0.795,0,0.029,0,0,4,yes,255,194,295,305,266,285,216,225,228,242,H,27,,
