Order in barchart,Individual,Accession,Alt ID,Latitude,Longitude,Prefecture (Japan),Collection type,Species based on morphology,Study,"Korea, N China",Yangtze-Qinling,Central Japan,North Japan,SE China,South Japan,Msa,Sichuan,DAPC group,Included in sPCA?,Sac-17,Sac-26,Sac-10,Sac-13,Sac-2,Sac-3,Mcp-10,Mcp-16,Mcp-2,Mcp-5,plastid haplotype ID (letter),plastid haplotype  ID (number),DNA content (pg/2C),Ploidy
819,EBI-2008-28e,EBI-2008-28,,42.96,140.46,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.003,0.957,0.001,0,0.038,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
750,EBI-2008-29a,EBI-2008-29,,43.06,140.69,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.003,0.002,0.011,0.967,0.001,0.015,0.001,0.001,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
775,EBI-2008-29b,EBI-2008-29,,43.06,140.69,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.007,0.991,0,0.001,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
847,EBI-2008-30b,EBI-2008-30,,43.25,141.37,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.001,0,0.001,0.987,0,0.01,0.001,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,5.27,2x
744,EBI-2008-31a,EBI-2008-31,,43.33,141.42,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.001,0,0.012,0.98,0.001,0.003,0.001,0.002,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
702,EBI-2008-31b,EBI-2008-31,,43.33,141.42,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.019,0.978,0.001,0.001,0.001,0.001,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
755,EBI-2008-31c,EBI-2008-31,,43.33,141.42,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.01,0.971,0.001,0.014,0.004,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
709,EBI-2008-31d,EBI-2008-31,,43.33,141.42,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.019,0.976,0,0.002,0,0.003,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
752,EBI-2008-33a,EBI-2008-33,,43.39,141.58,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.001,0,0.011,0.986,0.001,0.001,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
690,EBI-2008-33c,EBI-2008-33,,43.39,141.58,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.022,0.977,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
761,EBI-2008-33d,EBI-2008-33,,43.39,141.58,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.01,0.987,0,0,0.003,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
684,EBI-2008-33e,EBI-2008-33,,43.39,141.58,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.023,0.972,0,0,0.004,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
723,EBI-2008-34a,EBI-2008-34,,43.32,141.81,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.016,0.983,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
706,EBI-2008-34b,EBI-2008-34,,43.32,141.81,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.019,0.98,0,0,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
714,EBI-2008-34c,EBI-2008-34,,43.32,141.81,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.018,0.98,0.001,0.001,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
800,EBI-2008-34d,EBI-2008-34,,43.32,141.81,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.001,0,0.004,0.99,0,0.002,0.003,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
643,EBI-2008-35a,EBI-2008-35,,43.32,141.81,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.031,0.964,0,0.001,0.003,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
832,EBI-2008-36b,EBI-2008-36,,43.56,141.67,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.002,0.997,0,0.001,0,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
822,EBI-2008-36c,EBI-2008-36,,43.56,141.67,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.003,0.992,0.001,0.002,0.002,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
854,EBI-2008-37a,EBI-2008-37,,43.6,141.53,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.001,0.997,0,0.001,0,0,4,yes,251,194,294,307,270,287,215,226,227,249,,10,,
815,EBI-2008-37b,EBI-2008-37,,43.6,141.53,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.003,0.987,0.005,0.001,0.003,0,4,yes,251,194,294,307,270,287,215,226,227,249,,10,,
745,EBI-2008-37d,EBI-2008-37,,43.6,141.53,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.002,0.001,0.012,0.982,0.001,0.003,0,0,4,yes,251,194,294,307,270,287,215,226,227,249,,10,,
871,EBI-2008-37e,EBI-2008-37,,43.6,141.53,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.153,0.775,0.001,0.015,0.055,0,4,yes,251,194,294,307,270,287,215,226,227,249,,10,5.55,2x
769,EBI-2008-39b,EBI-2008-39,,43.65,141.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.008,0.975,0,0.009,0.006,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
830,EBI-2008-39c,EBI-2008-39,,43.65,141.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0.001,0,0.002,0.989,0.003,0.001,0.004,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
853,EBI-2008-39d,EBI-2008-39,,43.65,141.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.001,0.997,0,0.001,0.001,0,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
828,EBI-2008-39e,EBI-2008-39,,43.65,141.35,Hokkaido,seed,M. sinensis,Japan dense-sampling,0,0,0.002,0.984,0.001,0.004,0.005,0.004,4,yes,251,194,294,306,270,287,215,226,227,249,C,6,,
