Effect,DAPC_group,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,filename
DAPC_group,SE China/tropical,4.250859238,0.103848784,27.72276214,40.93316319,2.45E-26,0.05,4.038038766,4.46367971,Lsmean.CCirc.xlsx
DAPC_group,Sichuan,4.167260764,0.114955388,40.45514106,36.2511129,1.81E-32,0.05,3.935008653,4.399512875,Lsmean.CCirc.xlsx
DAPC_group,US naturalized,2.818907678,0.110396661,34.36749416,25.53435628,6.24E-24,0.05,2.594643002,3.043172354,Lsmean.CCirc.xlsx
DAPC_group,Yangtze-Qinling,3.252125372,0.095842295,20.56431135,33.93204804,0,0.05,3.052552967,3.451697776,Lsmean.CCirc.xlsx
DAPC_group,Korea/N China,-0.639478901,0.214685444,66.75010367,-2.978678432,0.00403304,0.05,-1.068022332,-0.210935471,Lsmean.CmDW.xlsx
DAPC_group,M. sacchariflorus 2x,0.2361863,0.161038515,27.18274318,1.466644795,0.153947296,0.05,-0.094133531,0.566506132,Lsmean.CmDW.xlsx
DAPC_group,M. xgiganteus 2x,1.516309663,0.217386043,85.21024134,6.975193251,1.00E-09,0.05,1.084103364,1.948515962,Lsmean.CmDW.xlsx
DAPC_group,M. xgiganteus 3x,2.580862371,0.217386043,85.21024134,11.87225422,0,0.05,2.148656072,3.01306867,Lsmean.CmDW.xlsx
DAPC_group,Ornamental,0.61570612,0.115182398,7.172261311,5.345487958,0.00098798,0.05,0.344663523,0.886748716,Lsmean.CmDW.xlsx
DAPC_group,SE China/tropical,2.243783917,0.125140766,10.00610677,17.93007981,6.00E-09,0.05,1.964975979,2.522591854,Lsmean.CmDW.xlsx
DAPC_group,Sichuan,2.370950447,0.131625005,12.2376035,18.01291825,0,0.05,2.084780547,2.657120346,Lsmean.CmDW.xlsx
DAPC_group,US naturalized,0.901806888,0.130096782,11.67296569,6.931815513,1.82E-05,0.05,0.617467064,1.186146713,Lsmean.CmDW.xlsx
DAPC_group,Yangtze-Qinling,1.721876972,0.122163117,9.086592076,14.09490046,1.75E-07,0.05,1.445925727,1.997828218,Lsmean.CmDW.xlsx
DAPC_group,Korea/N China,0.520661684,0.093411595,64.50044109,5.573844244,5.25E-07,0.05,0.33407845,0.707244917,Lsmean.CmD_BI.xlsx
DAPC_group,M. sacchariflorus 2x,1.048667365,0.062699612,19.1051428,16.72526089,0,0.05,0.917484434,1.179850296,Lsmean.CmD_BI.xlsx
