#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
37943882	Sobic.001G272700	Sobic.001G272700.1	Sobic.001G272700.1.p	PF12937	PTHR34791,PTHR34791:SF1				GO:0005515				LOC_Os10g04020.1		OsFBX356 - F-box domain containing protein, expressed
37938227	Sobic.001G272800	Sobic.001G272800.1	Sobic.001G272800.1.p	PF00931	PTHR23155,PTHR23155:SF570	KOG4658			GO:0043531	AT3G14470.1		NB-ARC domain-containing disease resistance protein	LOC_Os11g45180.1		NBS-LRR disease resistance protein, putative, expressed
37938226	Sobic.001G272800	Sobic.001G272800.2	Sobic.001G272800.2.p	PF00931	PTHR23155,PTHR23155:SF570	KOG4658			GO:0043531	AT3G14470.1		NB-ARC domain-containing disease resistance protein	LOC_Os11g45180.1		NBS-LRR disease resistance protein, putative, expressed
37943829	Sobic.001G272900	Sobic.001G272900.1	Sobic.001G272900.1.p	PF04564	PTHR22849,PTHR22849:SF15		6.3.2.19		GO:0016567,GO:0004842	AT5G37490.1		ARM repeat superfamily protein	LOC_Os10g03440.1		avr9/Cf-9 rapidly elicited protein 74, putative, expressed
37943429	Sobic.001G273000	Sobic.001G273000.1	Sobic.001G273000.1.p	PF01554	PTHR11206,PTHR11206:SF174	KOG1347			GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT1G47530.1		MATE efflux family protein	LOC_Os10g11860.1		MATE efflux family protein, putative, expressed
37943430	Sobic.001G273000	Sobic.001G273000.2	Sobic.001G273000.2.p	PF01554	PTHR11206,PTHR11206:SF174	KOG1347		K03327	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT1G47530.1		MATE efflux family protein	LOC_Os10g11860.1		MATE efflux family protein, putative, expressed
37943431	Sobic.001G273000	Sobic.001G273000.3	Sobic.001G273000.3.p	PF01554	PTHR11206,PTHR11206:SF174	KOG1347			GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT3G26590.1		MATE efflux family protein	LOC_Os10g11860.1		MATE efflux family protein, putative, expressed
37940116	Sobic.001G273100	Sobic.001G273100.1	Sobic.001G273100.1.p	PF01554	PTHR11206,PTHR11206:SF174	KOG1347		K03327	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT3G26590.1		MATE efflux family protein	LOC_Os10g11860.1		MATE efflux family protein, putative, expressed
37940117	Sobic.001G273100	Sobic.001G273100.2	Sobic.001G273100.2.p	PF01554	PTHR11206,PTHR11206:SF174	KOG1347		K03327	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT3G26590.1		MATE efflux family protein	LOC_Os10g11860.1		MATE efflux family protein, putative, expressed
37937764	Sobic.001G273200	Sobic.001G273200.1	Sobic.001G273200.1.p	PF02458	PTHR31642,PTHR31642:SF52		2.3.1.196		GO:0016747	AT5G17540.1		HXXXD-type acyl-transferase family protein	LOC_Os10g11980.1		transferase family protein, putative, expressed
37944814	Sobic.001G273400	Sobic.001G273400.2	Sobic.001G273400.2.p												
37941742	Sobic.001G273500	Sobic.001G273500.1	Sobic.001G273500.1.p	PF08263,PF00560,PF13855,PF00069	PTHR27000,PTHR27000:SF58	KOG1187	2.7.11.1		GO:0005515,GO:0006468,GO:0005524,GO:0004672	AT1G35710.1		Protein kinase family protein with leucine-rich repeat domain	LOC_Os10g33040.1		receptor-like protein kinase precursor, putative, expressed
37940896	Sobic.001G273600	Sobic.001G273600.1	Sobic.001G273600.1.p	PF06749	PTHR31769,PTHR31769:SF17					AT5G17210.1		Protein of unknown function (DUF1218)	LOC_Os05g35930.1		expressed protein
37938180	Sobic.001G273650	Sobic.001G273650.1	Sobic.001G273650.1.p												
37940596	Sobic.001G273700	Sobic.001G273700.1	Sobic.001G273700.1.p	PF13087,PF13086	PTHR10887,PTHR10887:SF359	KOG1801		K10706		AT4G30100.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	LOC_Os06g20500.1		tRNA-splicing endonuclease positive effector-related, putative, expressed
37943005	Sobic.001G273800	Sobic.001G273800.1	Sobic.001G273800.1.p	PF03188	PTHR10106,PTHR10106:SF13	KOG1619	1.16.5.1	K08360	GO:0016021	AT4G25570.1	ACYB-2	Cytochrome b561/ferric reductase transmembrane protein family	LOC_Os10g02920.1		cytochrome b561, putative, expressed
37943425	Sobic.001G273875	Sobic.001G273875.1	Sobic.001G273875.1.p												
37944492	Sobic.001G273950	Sobic.001G273950.1	Sobic.001G273950.1.p												
37943549	Sobic.001G274025	Sobic.001G274025.1	Sobic.001G274025.1.p												
37940748	Sobic.001G274100	Sobic.001G274100.1	Sobic.001G274100.1.p	PF05922,PF00082	PTHR10795,PTHR10795:SF429		3.4.14.10		GO:0006508,GO:0004252	AT5G67360.1	ARA12	Subtilase family protein	LOC_Os07g48650.1		OsSub54 - Putative Subtilisin homologue, expressed
37942640	Sobic.001G274200	Sobic.001G274200.1	Sobic.001G274200.1.p	PF00076,PF12220	PTHR13952,PTHR13952:SF5	KOG0107		K11093	GO:0003676	AT3G50670.1	U1-70K,U1SNRNP	U1 small nuclear ribonucleoprotein-70K	LOC_Os10g02630.1		transposon protein, putative, CACTA, En/Spm sub-class, expressed
37942410	Sobic.001G274300	Sobic.001G274300.1	Sobic.001G274300.1.p	PF02704	PTHR23201,PTHR23201:SF13					AT1G74670.1		Gibberellin-regulated family protein	LOC_Os03g14550.1		GASR1 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, putative
37938282	Sobic.001G274400	Sobic.001G274400.1	Sobic.001G274400.1.p	PF13855,PF00069,PF00560,PF08263	PTHR27000:SF5,PTHR27000	KOG1187	2.7.11.1		GO:0004672,GO:0005524,GO:0006468,GO:0005515	AT2G01950.1	BRL2,VH1	BRI1-like 2	LOC_Os10g02500.1		serine/threonine-protein kinase BRI1-like 2 precursor, putative, expressed
37938467	Sobic.001G274600	Sobic.001G274600.1	Sobic.001G274600.1.p	PF00248	PTHR11732,PTHR11732:SF237	KOG1577				AT1G59960.1		NAD(P)-linked oxidoreductase superfamily protein	LOC_Os10g02480.1		oxidoreductase, aldo/keto reductase family protein, putative, expressed
37938983	Sobic.001G274700	Sobic.001G274700.1	Sobic.001G274700.1.p												
37938982	Sobic.001G274700	Sobic.001G274700.2	Sobic.001G274700.2.p												
37940546	Sobic.001G274800	Sobic.001G274800.1	Sobic.001G274800.1.p	PF00248	PTHR11732,PTHR11732:SF237	KOG1577				AT1G59960.1		NAD(P)-linked oxidoreductase superfamily protein	LOC_Os10g02480.1		oxidoreductase, aldo/keto reductase family protein, putative, expressed
37944746	Sobic.001G274900	Sobic.001G274900.1	Sobic.001G274900.1.p												
37944747	Sobic.001G274900	Sobic.001G274900.2	Sobic.001G274900.2.p												
37944748	Sobic.001G274900	Sobic.001G274900.3	Sobic.001G274900.3.p												
37944749	Sobic.001G274900	Sobic.001G274900.4	Sobic.001G274900.4.p												
37940269	Sobic.001G275100	Sobic.001G275100.1	Sobic.001G275100.1.p	PF00248	PTHR11732,PTHR11732:SF237					AT1G59960.1		NAD(P)-linked oxidoreductase superfamily protein	LOC_Os10g02480.1		oxidoreductase, aldo/keto reductase family protein, putative, expressed
37938963	Sobic.001G275200	Sobic.001G275200.1	Sobic.001G275200.1.p	PF00248	PTHR11732,PTHR11732:SF237	KOG1577				AT1G59960.1		NAD(P)-linked oxidoreductase superfamily protein	LOC_Os10g02480.1		oxidoreductase, aldo/keto reductase family protein, putative, expressed
37938964	Sobic.001G275200	Sobic.001G275200.2	Sobic.001G275200.2.p	PF00248	PTHR11732,PTHR11732:SF237					AT1G59960.1		NAD(P)-linked oxidoreductase superfamily protein	LOC_Os10g02480.1		oxidoreductase, aldo/keto reductase family protein, putative, expressed
37939185	Sobic.001G275300	Sobic.001G275300.1	Sobic.001G275300.1.p	PF00570,PF16124,PF00271,PF00270	PTHR13710,PTHR13710:SF72		3.6.4.12	K10899	GO:0005622,GO:0003676,GO:0005524	AT1G31360.1	ATRECQ2,MED34,RECQL2	RECQ helicase L2	LOC_Os11g48090.5		helicase conserved C-terminal domain containing protein, expressed
37939186	Sobic.001G275300	Sobic.001G275300.2	Sobic.001G275300.2.p	PF00570,PF16124,PF00271,PF00270	PTHR13710,PTHR13710:SF72		3.6.4.12		GO:0005622,GO:0003676,GO:0005524	AT1G31360.1	ATRECQ2,MED34,RECQL2	RECQ helicase L2	LOC_Os11g48090.5		helicase conserved C-terminal domain containing protein, expressed
37944745	Sobic.001G275400	Sobic.001G275400.1	Sobic.001G275400.1.p	PF00657	PTHR22835,PTHR22835:SF203		3.1.1.3		GO:0016788	AT2G42990.1		GDSL-like Lipase/Acylhydrolase superfamily protein	LOC_Os09g07290.1		GDSL-like lipase/acylhydrolase, putative, expressed
37940194	Sobic.001G275450	Sobic.001G275450.1	Sobic.001G275450.1.p	PF00098	PTHR23002				GO:0008270,GO:0003676	AT3G43590.1		zinc knuckle (CCHC-type) family protein	LOC_Os04g45890.1		retrotransposon protein, putative, unclassified, expressed
37941050	Sobic.001G275500	Sobic.001G275500.1	Sobic.001G275500.1.p	PF00854	PTHR11654:SF175,PTHR11654	KOG1237			GO:0005215,GO:0006810,GO:0016020	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02260.1		peptide transporter PTR2, putative, expressed
37941049	Sobic.001G275500	Sobic.001G275500.2	Sobic.001G275500.2.p	PF00854	PTHR11654,PTHR11654:SF175	KOG1237			GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02260.1		peptide transporter PTR2, putative, expressed
37944043	Sobic.001G275600	Sobic.001G275600.2	Sobic.001G275600.2.p	PF00854	PTHR11654,PTHR11654:SF175	KOG1237			GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02260.1		peptide transporter PTR2, putative, expressed
37944044	Sobic.001G275600	Sobic.001G275600.3	Sobic.001G275600.3.p	PF00854	PTHR11654,PTHR11654:SF175	KOG1237			GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02260.1		peptide transporter PTR2, putative, expressed
37944045	Sobic.001G275600	Sobic.001G275600.4	Sobic.001G275600.4.p	PF00854	PTHR11654,PTHR11654:SF175	KOG1237			GO:0016020,GO:0006810,GO:0005215	AT2G02020.1		Major facilitator superfamily protein	LOC_Os10g02340.1		peptide transporter PTR2, putative, expressed
37944046	Sobic.001G275600	Sobic.001G275600.5	Sobic.001G275600.5.p	PF00854	PTHR11654,PTHR11654:SF175	KOG1237			GO:0016020,GO:0006810,GO:0005215	AT2G02020.1		Major facilitator superfamily protein	LOC_Os10g02340.1		peptide transporter PTR2, putative, expressed
37938701	Sobic.001G275700	Sobic.001G275700.1	Sobic.001G275700.1.p										ChrUn.fgenesh.mRNA.4		hypothetical protein
37945270	Sobic.001G275800	Sobic.001G275800.1	Sobic.001G275800.1.p	PF00854	PTHR11654,PTHR11654:SF152				GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g22560.3		peptide transporter PTR2, putative, expressed
37945271	Sobic.001G275800	Sobic.001G275800.2	Sobic.001G275800.2.p	PF00854	PTHR11654,PTHR11654:SF152				GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02220.1		peptide transporter PTR2, putative, expressed
37941400	Sobic.001G275900	Sobic.001G275900.1	Sobic.001G275900.1.p	PF13246	PTHR24093,PTHR24093:SF359		3.6.3.8			AT5G57110.2	ACA8,AT-ACA8	autoinhibited Ca2+ -ATPase, isoform 8	LOC_Os04g51610.3		calcium-transporting ATPase, plasma membrane-type, putative, expressed
37944450	Sobic.001G275950	Sobic.001G275950.1	Sobic.001G275950.1.p	PF00098	PTHR23002,PTHR23002:SF63		3.6.4.13		GO:0008270,GO:0003676	AT3G55340.1	PHIP1	phragmoplastin interacting protein 1	LOC_Os04g45890.1		retrotransposon protein, putative, unclassified, expressed
37943060	Sobic.001G276000	Sobic.001G276000.1	Sobic.001G276000.1.p		PTHR11654,PTHR11654:SF152		3.6.3.43		GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02220.5		peptide transporter PTR2, putative, expressed
37938444	Sobic.001G276100	Sobic.001G276100.1	Sobic.001G276100.1.p	PF00854	PTHR11654,PTHR11654:SF152				GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g22560.2		peptide transporter PTR2, putative, expressed
37941151	Sobic.001G276200	Sobic.001G276200.1	Sobic.001G276200.1.p		PTHR35315,PTHR35315:SF1					AT5G51840.1			LOC_Os10g11060.1		ACI13, putative, expressed
37941152	Sobic.001G276200	Sobic.001G276200.2	Sobic.001G276200.2.p		PTHR35315,PTHR35315:SF1					AT5G51840.1			LOC_Os10g11060.1		ACI13, putative, expressed
37941153	Sobic.001G276200	Sobic.001G276200.3	Sobic.001G276200.3.p		PTHR35315,PTHR35315:SF1					AT5G51840.1			LOC_Os10g11060.1		ACI13, putative, expressed
37941154	Sobic.001G276200	Sobic.001G276200.4	Sobic.001G276200.4.p		PTHR35315,PTHR35315:SF1					AT5G51840.1			LOC_Os10g11060.1		ACI13, putative, expressed
37943778	Sobic.001G276300	Sobic.001G276300.1	Sobic.001G276300.1.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43		GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.2		peptide transporter PTR2, putative, expressed
37943779	Sobic.001G276300	Sobic.001G276300.2	Sobic.001G276300.2.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43		GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.2		peptide transporter PTR2, putative, expressed
37943780	Sobic.001G276300	Sobic.001G276300.3	Sobic.001G276300.3.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43		GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.2		peptide transporter PTR2, putative, expressed
37942119	Sobic.001G276400	Sobic.001G276400.1	Sobic.001G276400.1.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43	K14638	GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.1		peptide transporter PTR2, putative, expressed
37942121	Sobic.001G276400	Sobic.001G276400.2	Sobic.001G276400.2.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43	K14638	GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.2		peptide transporter PTR2, putative, expressed
37942122	Sobic.001G276400	Sobic.001G276400.3	Sobic.001G276400.3.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43	K14638	GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.1		peptide transporter PTR2, putative, expressed
37942120	Sobic.001G276400	Sobic.001G276400.4	Sobic.001G276400.4.p	PF00854	PTHR11654,PTHR11654:SF152		3.6.3.43	K14638	GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g22560.3		peptide transporter PTR2, putative, expressed
37943210	Sobic.001G276500	Sobic.001G276500.1	Sobic.001G276500.1.p	PF00421	PTHR33180,PTHR33180:SF4			K02705	GO:0019684,GO:0016168,GO:0016020,GO:0009767,GO:0009521	ATCG00280.1		photosystem II reaction center protein C	LOC_Os02g24632.1		photosystem II 44 kDa reaction center protein, putative, expressed
37940749	Sobic.001G276550	Sobic.001G276550.1	Sobic.001G276550.1.p												
37939199	Sobic.001G276600	Sobic.001G276600.1	Sobic.001G276600.1.p	PF00854	PTHR11654,PTHR11654:SF107		3.6.3.43	K14638	GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g02100.1		peptide transporter PTR2, putative, expressed
37939200	Sobic.001G276600	Sobic.001G276600.2	Sobic.001G276600.2.p	PF00854	PTHR11654,PTHR11654:SF107	KOG1237	3.6.3.43		GO:0016020,GO:0006810,GO:0005215	AT1G62200.1		Major facilitator superfamily protein	LOC_Os10g02100.1		peptide transporter PTR2, putative, expressed
37939878	Sobic.001G276700	Sobic.001G276700.1	Sobic.001G276700.1.p	PF00854	PTHR11654,PTHR11654:SF107			K14638	GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02100.1		peptide transporter PTR2, putative, expressed
37942477	Sobic.001G276800	Sobic.001G276800.1	Sobic.001G276800.1.p	PF07690	PTHR11654,PTHR11654:SF107	KOG1237		K14638	GO:0055085,GO:0016021,GO:0016020,GO:0006810,GO:0005215	AT2G02040.1	ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B	peptide transporter 2	LOC_Os10g02100.1		peptide transporter PTR2, putative, expressed
37942975	Sobic.001G276900	Sobic.001G276900.2	Sobic.001G276900.2.p	PF06200,PF09425	PTHR33077,PTHR33077:SF4			K13464		AT1G19180.1	JAZ1,TIFY10A	jasmonate-zim-domain protein 1	LOC_Os03g08330.1		ZIM domain containing protein, putative, expressed
37944405	Sobic.001G277000	Sobic.001G277000.1	Sobic.001G277000.1.p	PF00141	PTHR31388,PTHR31388:SF8		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT5G06730.1		Peroxidase superfamily protein	LOC_Os10g02040.1		peroxidase precursor, putative, expressed
37939950	Sobic.001G277300	Sobic.001G277300.1	Sobic.001G277300.1.p	PF00646	PTHR32212,PTHR32212:SF88				GO:0005515	AT3G58930.1		F-box/RNI-like superfamily protein	LOC_Os10g03780.1		OsFBX351 - F-box domain containing protein, expressed
37942173	Sobic.001G277400	Sobic.001G277400.1	Sobic.001G277400.1.p	PF01535,PF13041	PTHR24015,PTHR24015:SF739					AT4G18520.1		Pentatricopeptide repeat (PPR) superfamily protein	LOC_Os03g44210.2		expressed protein
37944805	Sobic.001G277500	Sobic.001G277500.2	Sobic.001G277500.2.p	PF01657,PF07714	PTHR27002,PTHR27002:SF71	KOG1187	2.7.11.1		GO:0006468,GO:0004672	AT4G23310.1	CRK23	cysteine-rich RLK (RECEPTOR-like protein kinase) 23	LOC_Os10g04730.1		TKL_IRAK_DUF26-la.6 - DUF26 kinases have homology to DUF26 containing loci, expressed
37944809	Sobic.001G277600	Sobic.001G277600.1	Sobic.001G277600.1.p	PF01657,PF07714	PTHR27002,PTHR27002:SF76	KOG1187	2.7.11.1		GO:0006468,GO:0004672	AT4G23180.1	CRK10,RLK4	cysteine-rich RLK (RECEPTOR-like protein kinase) 10	LOC_Os10g04720.1		TKL_IRAK_DUF26-la.5 - DUF26 kinases have homology to DUF26 containing loci, expressed
37944049	Sobic.001G277700	Sobic.001G277700.1	Sobic.001G277700.1.p		PTHR23315,PTHR23315:SF79					AT5G62560.1		RING/U-box superfamily protein with ARM repeat domain	LOC_Os09g21740.1		armadillo/beta-catenin repeat family protein, putative, expressed
37938740	Sobic.001G277800	Sobic.001G277800.1	Sobic.001G277800.1.p	PF02458	PTHR31642,PTHR31642:SF52		2.3.1.196		GO:0016747	AT5G17540.1		HXXXD-type acyl-transferase family protein	LOC_Os03g45740.1		transferase family protein, putative, expressed
37939551	Sobic.001G277900	Sobic.001G277900.1	Sobic.001G277900.1.p		PTHR16897,PTHR16897:SF3					AT3G58050.1			LOC_Os10g01610.1		expressed protein
37939550	Sobic.001G277900	Sobic.001G277900.2	Sobic.001G277900.2.p		PTHR16897,PTHR16897:SF3					AT3G58050.1			LOC_Os10g01610.1		expressed protein
37941820	Sobic.001G278000	Sobic.001G278000.2	Sobic.001G278000.2.p												
37939365	Sobic.001G278100	Sobic.001G278100.1	Sobic.001G278100.1.p	PF07714	PTHR27001:SF55,PTHR27001	KOG1187	2.1.1.37		GO:0004672,GO:0006468	AT2G18470.1	PERK4	roline-rich extensin-like receptor kinase 4	LOC_Os10g01560.1		serine/threonine-protein kinase, putative, expressed
37940462	Sobic.001G278300	Sobic.001G278300.2	Sobic.001G278300.2.p	PF00010	PTHR11514,PTHR11514:SF35				GO:0046983	AT2G22760.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	LOC_Os10g01530.1		helix-loop-helix DNA-binding domain containing protein, expressed
37940463	Sobic.001G278300	Sobic.001G278300.3	Sobic.001G278300.3.p	PF00010	PTHR11514,PTHR11514:SF35				GO:0046983	AT2G22760.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	LOC_Os10g01530.1		helix-loop-helix DNA-binding domain containing protein, expressed
37944518	Sobic.001G278400	Sobic.001G278400.1	Sobic.001G278400.1.p		PTHR35103					AT4G28310.1					
37941452	Sobic.001G278500	Sobic.001G278500.1	Sobic.001G278500.1.p	PF00010	PTHR11514,PTHR11514:SF35				GO:0046983	AT2G22760.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	LOC_Os10g01530.1		helix-loop-helix DNA-binding domain containing protein, expressed
37945135	Sobic.001G278600	Sobic.001G278600.1	Sobic.001G278600.1.p												
37943809	Sobic.001G278650	Sobic.001G278650.1	Sobic.001G278650.1.p	PF14303	PTHR11260,PTHR11260:SF315		2.5.1.18			AT5G41220.1	ATGSTT3,GST10C,GSTT3	glutathione S-transferase THETA 3	LOC_Os08g12950.1		transposon protein, putative, Pong sub-class, expressed
37943611	Sobic.001G278700	Sobic.001G278700.1	Sobic.001G278700.1.p	PF05770	PTHR14217,PTHR14217:SF6		2.7.1.134,2.7.1.159	K00913	GO:0052726,GO:0052725,GO:0047325,GO:0032957,GO:0005622,GO:0005524,GO:0000287	AT4G08170.2		Inositol 1,3,4-trisphosphate 5/6-kinase family protein	LOC_Os10g01480.1		Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed
37944764	Sobic.001G278800	Sobic.001G278800.1	Sobic.001G278800.1.p	PF02183,PF00046	PTHR24326,PTHR24326:SF227			K09338	GO:0043565,GO:0006355,GO:0003700,GO:0003677	AT4G37790.1	HAT22	Homeobox-leucine zipper protein family	LOC_Os10g01470.1		homeobox associated leucine zipper, putative, expressed
37939540	Sobic.001G278900	Sobic.001G278900.1	Sobic.001G278900.1.p												
37941616	Sobic.001G279000	Sobic.001G279000.1	Sobic.001G279000.1.p	PF12937	PTHR32133,PTHR32133:SF154				GO:0005515				LOC_Os10g17940.1		OsFBX382 - F-box domain containing protein, expressed
37939893	Sobic.001G279100	Sobic.001G279100.5	Sobic.001G279100.5.p	PF09741	PTHR21477,PTHR21477:SF13	KOG2465				AT1G59520.3	CW7	CW7	LOC_Os04g10420.1		CW7, putative, expressed
37939895	Sobic.001G279100	Sobic.001G279100.6	Sobic.001G279100.6.p	PF09741	PTHR21477,PTHR21477:SF13	KOG2465				AT1G59520.3	CW7	CW7	LOC_Os04g10420.1		CW7, putative, expressed
37939894	Sobic.001G279100	Sobic.001G279100.7	Sobic.001G279100.7.p	PF09741	PTHR21477,PTHR21477:SF13	KOG2465				AT1G59520.3	CW7	CW7	LOC_Os04g10420.1		CW7, putative, expressed
37939896	Sobic.001G279100	Sobic.001G279100.8	Sobic.001G279100.8.p	PF09741	PTHR21477,PTHR21477:SF13	KOG2465				AT1G59520.3	CW7	CW7	LOC_Os04g10420.1		CW7, putative, expressed
37942634	Sobic.001G279200	Sobic.001G279200.1	Sobic.001G279200.1.p		PTHR21477:SF16,PTHR21477					AT1G10150.1		Carbohydrate-binding protein	LOC_Os10g01290.1		PHLOEM 2-LIKE A10, putative, expressed
37944835	Sobic.001G279300	Sobic.001G279300.2	Sobic.001G279300.2.p	PF05678									LOC_Os10g01240.1		VQ domain containing protein, putative, expressed
37944807	Sobic.001G279350	Sobic.001G279350.1	Sobic.001G279350.1.p												
37943454	Sobic.001G279400	Sobic.001G279400.1	Sobic.001G279400.1.p												
37943452	Sobic.001G279400	Sobic.001G279400.2	Sobic.001G279400.2.p												
37943453	Sobic.001G279400	Sobic.001G279400.3	Sobic.001G279400.3.p												
37942499	Sobic.001G279500	Sobic.001G279500.1	Sobic.001G279500.1.p	PF05678									LOC_Os10g01240.1		VQ domain containing protein, putative, expressed
37941714	Sobic.001G279601	Sobic.001G279601.1	Sobic.001G279601.1.p												
37941715	Sobic.001G279601	Sobic.001G279601.2	Sobic.001G279601.2.p												
37939664	Sobic.001G279701	Sobic.001G279701.1	Sobic.001G279701.1.p												
37939287	Sobic.001G279800	Sobic.001G279800.1	Sobic.001G279800.1.p	PF02450	PTHR11440		2.3.1.43		GO:0008374,GO:0006629	AT1G27480.1		alpha/beta-Hydrolases superfamily protein	LOC_Os03g52010.1		lecithin cholesterol acyltransferase, putative, expressed
37945199	Sobic.001G279900	Sobic.001G279900.1	Sobic.001G279900.1.p	PF00069	PTHR27003,PTHR27003:SF28	KOG1187	2.7.11.1		GO:0006468,GO:0005524,GO:0004672	AT2G11520.1	CRCK3	calmodulin-binding receptor-like cytoplasmic kinase 3	LOC_Os09g03620.1		wall-associated receptor kinase-like 20 precursor, putative, expressed
37945200	Sobic.001G279900	Sobic.001G279900.2	Sobic.001G279900.2.p	PF07714	PTHR27003,PTHR27003:SF28		2.7.11.1		GO:0006468,GO:0004672	AT2G11520.1	CRCK3	calmodulin-binding receptor-like cytoplasmic kinase 3	LOC_Os09g03620.1		wall-associated receptor kinase-like 20 precursor, putative, expressed
37940511	Sobic.001G280000	Sobic.001G280000.1	Sobic.001G280000.1.p	PF00450	PTHR11802,PTHR11802:SF53	KOG1282		K16296	GO:0006508,GO:0004185	AT1G73270.1	scpl6	serine carboxypeptidase-like 6	LOC_Os10g01134.1		OsSCP46 - Putative Serine Carboxypeptidase homologue, expressed
37943167	Sobic.001G280100	Sobic.001G280100.1	Sobic.001G280100.1.p	PF03109	PTHR10566,PTHR10566:SF50	KOG1235	3.6.3.46			AT3G07700.1		Protein kinase superfamily protein	LOC_Os09g07660.1		 ELMO/CED-12 family protein, putative, expressed
37943168	Sobic.001G280100	Sobic.001G280100.2	Sobic.001G280100.2.p	PF03109	PTHR10566,PTHR10566:SF50	KOG1235	3.6.3.46			AT3G07700.2		Protein kinase superfamily protein	LOC_Os09g07660.1		 ELMO/CED-12 family protein, putative, expressed
37943169	Sobic.001G280100	Sobic.001G280100.3	Sobic.001G280100.3.p	PF03109	PTHR10566,PTHR10566:SF50	KOG1235	3.6.3.46			AT3G07700.1		Protein kinase superfamily protein	LOC_Os09g07660.2		 ELMO/CED-12 family protein, putative, expressed
37943560	Sobic.001G280200	Sobic.001G280200.1	Sobic.001G280200.1.p	PF00450	PTHR11802,PTHR11802:SF47	KOG1282		K16296	GO:0006508,GO:0004185	AT1G73280.1	scpl3	serine carboxypeptidase-like 3	LOC_Os10g01110.1		OsSCP44 - Putative Serine Carboxypeptidase homologue, expressed
37943561	Sobic.001G280200	Sobic.001G280200.2	Sobic.001G280200.2.p	PF00450	PTHR11802,PTHR11802:SF47	KOG1282		K16296	GO:0006508,GO:0004185	AT1G33540.1	scpl18	serine carboxypeptidase-like 18	LOC_Os10g01110.1		OsSCP44 - Putative Serine Carboxypeptidase homologue, expressed
