#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
37944253	Sobic.001G000700	Sobic.001G000700.1	Sobic.001G000700.1.p	PF14497	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18			AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
37944251	Sobic.001G000700	Sobic.001G000700.2	Sobic.001G000700.2.p	PF02798,PF14497	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18	K00799	GO:0005515	AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
37944248	Sobic.001G000700	Sobic.001G000700.3	Sobic.001G000700.3.p	PF02798	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18	K00799	GO:0005515	AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
37944249	Sobic.001G000700	Sobic.001G000700.4	Sobic.001G000700.4.p	PF02798,PF14497	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18	K00799	GO:0005515	AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
37944250	Sobic.001G000700	Sobic.001G000700.5	Sobic.001G000700.5.p	PF02798,PF14497	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18	K00799	GO:0005515	AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
37944252	Sobic.001G000700	Sobic.001G000700.6	Sobic.001G000700.6.p	PF14497	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18			AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
37939509	Sobic.001G000800	Sobic.001G000800.1	Sobic.001G000800.1.p		PTHR33740,PTHR33740:SF3					AT5G23890.1			LOC_Os03g64400.1		oxidoreductase/ transition metal ion binding protein, putative, expressed
37941886	Sobic.001G000900	Sobic.001G000900.1	Sobic.001G000900.1.p		PTHR33870,PTHR33870:SF1					AT5G17910.2			LOC_Os07g28920.1		expressed protein
37938939	Sobic.001G001000	Sobic.001G001000.1	Sobic.001G001000.1.p		PTHR33698,PTHR33698:SF1					AT5G41470.1		Nuclear transport factor 2 (NTF2) family protein	LOC_Os03g64380.1		expressed protein
37942983	Sobic.001G001066	Sobic.001G001066.1	Sobic.001G001066.1.p	PF00098	PTHR23002,PTHR23002:SF63				GO:0008270,GO:0003676	AT3G55340.1	PHIP1	phragmoplastin interacting protein 1	LOC_Os04g45890.1		retrotransposon protein, putative, unclassified, expressed
