Effect,Entry1,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,filename
Entry1,M. sinensis  'Arabesque',15.8719846,0.977504506,132,16.23724954,2.90E-33,0.05,13.93838406,17.80558513,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Autumn Light',13.12219799,0.977559522,132,13.4234261,1.92E-26,0.05,11.18848864,15.05590735,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Ben Graz',11.59276098,0.704407401,132,16.45746619,8.79E-34,0.05,10.19937352,12.98614845,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Ben Rotkopf',12.43985702,1.368867196,132,9.0877019,0,0.05,9.732102405,15.14761164,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Berlin',11.16230914,1.122594613,132,9.943312581,0,0.05,8.941706034,13.38291224,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Bitsy Ben',9.345985502,1.365750198,132,6.843114879,0,0.05,6.644396617,12.04757439,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Blondo',15.58804037,0.704407401,132,22.12929669,2.97E-46,0.05,14.1946529,16.98142783,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Bluetenwunder',12.64177683,1.122570083,132,11.26145888,0,0.05,10.42122225,14.86233141,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Bodacious Ben',17.49662381,0.704407401,132,24.83878475,1.34E-51,0.05,16.10323635,18.89001127,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Border Bandit',13.98142035,1.922589285,132,7.272182603,0,0.05,10.17834871,17.78449198,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Dixieland',13.11781502,1.122444402,132,11.68682831,0,0.05,10.89750905,15.338121,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Emerald Shadow',15.16823877,0.704407401,132,21.53333248,5.02E-45,0.05,13.7748513,16.56162623,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Emmanuel LePage',15.12090997,0.704407401,132,21.46614296,6.93E-45,0.05,13.72752251,16.51429744,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Flamingo',17.01644347,0.704407401,132,24.1571049,2.73E-50,0.05,15.62305601,18.40983094,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Giraffe',14.42456926,0.704407401,132,20.47759469,8.39E-43,0.05,13.03118179,15.81795672,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Gold and Silver',12.38333865,0.977559522,132,12.66760578,1.46E-24,0.05,10.44962929,14.31704801,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Goliath',18.0289997,0.704407401,132,25.59456314,5.02E-53,0.05,16.63561223,19.42238716,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Gracillimus Nana',10.72165302,0.74934384,132,14.30805518,1.27E-28,0.05,9.239376833,12.2039292,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Gracillimus'--PI295764,21.07367185,0.704407401,132,29.91688024,1.16E-60,0.05,19.68028439,22.46705932,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Gracillimus'--UI10-00048,13.83908667,0.704407401,132,19.64642428,5.21E-41,0.05,12.4456992,15.23247413,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Graziella',9.901836261,1.369157114,132,7.232067206,0,0.05,7.19350816,12.61016436,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Grosse Fontaine',16.17878908,0.805819768,132,20.07742887,6.06E-42,0.05,14.58479793,17.77278023,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Haiku',11.97330816,0.977559522,132,12.24816279,0,0.05,10.0395988,13.90701751,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Huron Blush',13.59616928,0.704407401,132,19.30157074,2.96E-40,0.05,12.20278182,14.98955674,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Huron Sentinel',14.42950291,1.368867196,132,10.54120002,0,0.05,11.7217483,17.13725753,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'July (Juli)',15.65539091,0.704407401,132,22.22490975,1.90E-46,0.05,14.26200345,17.04877838,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Kaskade',15.49143815,0.704407401,132,21.99215699,5.67E-46,0.05,14.09805068,16.88482561,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Kirk Alexander',13.20708772,1.122579288,132,11.76494869,0,0.05,10.98651493,15.42766051,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Kleine Fontaine',12.80160141,0.805752305,132,15.88776269,1.95E-32,0.05,11.20774371,14.39545911,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Kleine Silberspinne (Little Silver Spider)',11.90334308,0.977559522,132,12.17659162,0,0.05,9.969633723,13.83705244,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Little Nickey (syn. Hinjo)',14.12542942,1.368867196,132,10.31906488,0,0.05,11.4176748,16.83318403,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Minuette',15.14511996,0.704407401,132,21.50051225,5.88E-45,0.05,13.75173249,16.53850742,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Morning Light',13.62111117,1.369157114,132,9.948537704,0,0.05,10.91278307,16.32943927,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Mt. Washington',10.34900763,0.878149325,132,11.78502032,0,0.05,8.611941471,12.0860738,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Mysterious Maiden',11.86615614,1.922596909,132,6.171941754,8.00E-09,0.05,8.063069421,15.66924286,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Nippon',13.76972988,1.368867196,132,10.05921533,0,0.05,11.06197527,16.4774845,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'November Sunset',15.10454645,0.80576504,132,18.74559667,5.04E-39,0.05,13.51066356,16.69842934,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Positano',13.26502363,0.749351525,132,17.70200392,1.14E-36,0.05,11.78273225,14.74731502,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Puenktchen (Little Dot)',11.28175407,1.922596909,132,5.867976805,3.40E-08,0.05,7.478667351,15.08484079,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Rigoletto',10.92601753,0.805752305,132,13.5600202,8.83E-27,0.05,9.332159827,12.51987523,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Roland',16.57289163,0.977495636,132,16.95444053,6.06E-35,0.05,14.63930864,18.50647462,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Roter Pfeil (Red Arrow',13.73634469,0.704407401,132,19.50056838,1.08E-40,0.05,12.34295723,15.12973216,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Rotsilber',15.9171944,0.704407401,132,22.59657463,3.34E-47,0.05,14.52380694,17.31058187,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Sarabande',12.12026845,0.878145715,132,13.80211536,2.23E-27,0.05,10.38320943,13.85732747,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Silberfeder (Silver Feather)'--UI10-00084,14.66820492,0.704407401,132,20.82346793,1.55E-43,0.05,13.27481746,16.06159239,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Silberfeder (Silver Feather)'--UI10-00085,16.0049044,0.704407401,132,22.72109063,1.87E-47,0.05,14.61151694,17.39829186,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Silberfeil (Silver Arrow)',15.06314991,0.805752305,132,18.69451668,6.56E-39,0.05,13.46929221,16.65700761,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Silberspinne (Silver Spider)',12.22157214,1.368867196,132,8.928238013,0,0.05,9.51381752,14.92932675,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Silberturm (Silver Tower)',17.29444294,0.805849468,132,21.46113342,7.10E-45,0.05,15.70039304,18.88849284,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Sirene',13.00933494,0.977559522,132,13.30797221,3.72E-26,0.05,11.07562559,14.9430443,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Stardust',21.36900805,1.368867196,132,15.61072404,8.95E-32,0.05,18.66125344,24.07676267,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Strictus',11.24675818,0.805849468,132,13.95640083,9.29E-28,0.05,9.652708279,12.84080808,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Super Stripe',13.52004667,1.368867196,132,9.876813984,0,0.05,10.81229205,16.22780128,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'US47-0011',22.82171069,0.80517713,132,28.34371449,5.58E-58,0.05,21.22899074,24.41443063,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'US64-0004-02',21.72207703,0.704407401,132,30.83737763,3.49E-62,0.05,20.32868956,23.11546449,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Undine',12.14476536,0.704407401,132,17.24110983,1.31E-35,0.05,10.7513779,13.53815283,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Variegatus',12.11551688,0.704407401,132,17.19958772,1.64E-35,0.05,10.72212942,13.50890435,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Wetterfahne',10.72067432,0.749333448,132,14.30694752,1.28E-28,0.05,9.23841869,12.20292994,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Yaku Jima Dwarf',15.17415308,0.704407401,132,21.54172863,4.83E-45,0.05,13.78076562,16.56754054,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Zebrinus',15.26520519,0.977559522,132,15.61562734,8.71E-32,0.05,13.33149584,17.19891455,Lsmean.Bcirc.xlsx
Entry1,M. sinensis  'Zwergzebra',15.4286081,0.704407401,132,21.90296138,8.65E-46,0.05,14.03522063,16.82199556,Lsmean.Bcirc.xlsx
Entry1,M. sinensis var. condensatus  'US64-0007-01',11.53812241,0.878149325,132,13.13913487,9.77E-26,0.05,9.801056245,13.27518857,Lsmean.Bcirc.xlsx
Entry1,M. sinensis var. condensatus 'Cabaret',15.81032539,0.704407401,132,22.44485985,6.77E-47,0.05,14.41693793,17.20371285,Lsmean.Bcirc.xlsx
Entry1,M. sinensis var. condensatus 'Cosmopolitan',16.82883242,0.704407401,132,23.89076605,8.99E-50,0.05,15.43544496,18.22221988,Lsmean.Bcirc.xlsx
Entry1,M. sinensis var. condensatus--UI10-00017,16.26061931,0.704407401,132,23.08411196,3.51E-48,0.05,14.86723184,17.65400677,Lsmean.Bcirc.xlsx
Entry1,M. sp  'M75-062',20.0002572,0.704407401,132,28.39302537,4.58E-58,0.05,18.60686974,21.39364467,Lsmean.Bcirc.xlsx
Entry1,M. sp  'US64-0016-03',23.44969265,0.878200071,132,26.70199357,4.60E-55,0.05,21.71252611,25.1868592,Lsmean.Bcirc.xlsx
Entry1,M. transmorrisonensis,10.65679098,0.977504506,132,10.9020377,0,0.05,8.723190444,12.59039151,Lsmean.Bcirc.xlsx
