Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
JM0058.001,M. sinensis,S Japan,42.6,140.646,0.241,0.667,0.083,0.001,0,0.001,0.004,0.004
JM0058.003,M. sinensis,S Japan,42.6,140.646,0.211,0.665,0.105,0.001,0,0,0.014,0.003
JM0059.001,M. sinensis,N Japan,42.562,140.797,0.004,0.071,0.9,0.002,0.009,0.005,0.002,0.008
JM0059.002,M. sinensis,N Japan,42.562,140.797,0.007,0.05,0.939,0.001,0.001,0,0,0
JM0061.002,M. sinensis,N Japan,42.78,140.804,0.009,0.054,0.928,0.002,0.001,0.001,0.001,0.003
JM0062.001,M. sinensis,N Japan,41.719,141.007,0.024,0.072,0.867,0.018,0.007,0.005,0.002,0.005
JM0062.002,M. sinensis,N Japan,41.719,141.007,0.03,0.066,0.887,0.001,0.005,0.001,0.002,0.008
JM0062.003,M. sinensis,N Japan,41.719,141.007,0.003,0.063,0.925,0.005,0.001,0,0.002,0
JM0069.001,M. sinensis,N Japan,41.402,140.218,0.044,0.105,0.845,0.001,0.004,0,0,0.001
JM0069.002,M. sinensis,N Japan,41.402,140.218,0.043,0.138,0.816,0,0,0,0,0.002
JM0075.002,M. sinensis,N Japan,41.976,140.672,0.018,0.096,0.864,0.001,0.001,0.014,0.001,0.004
JM0076.001,M. sinensis,N Japan,42.072,140.799,0.012,0.068,0.918,0,0,0,0.001,0.001
JM0076.002,M. sinensis,N Japan,42.072,140.799,0.007,0.097,0.895,0,0,0,0,0
JM0079.002,M. sinensis,N Japan,43.62,144.445,0.001,0.031,0.963,0,0,0,0.004,0
JM0085.001,M. sinensis,N Japan,39.44,141.07,0.034,0.304,0.637,0.001,0.001,0.014,0.006,0.002
JM0085.002,M. sinensis,N Japan,39.44,141.07,0.005,0.04,0.942,0.001,0.005,0.001,0,0.005
JM0085.003,M. sinensis,N Japan,39.44,141.07,0.032,0.041,0.865,0.02,0.013,0.007,0.001,0.019
JM0091.001,M. sinensis,S Japan,36.561,139.561,0.161,0.627,0.133,0.019,0.018,0.017,0.006,0.018
JM0091.002,M. sinensis,S Japan,36.561,139.561,0.159,0.682,0.151,0.002,0.001,0.001,0.003,0.001
JM0093.001,M. sinensis,N Japan,36.055,138.463,0.012,0.015,0.963,0.001,0.001,0.002,0.001,0.005
JM0094.001,M. sinensis,S Japan,36.055,138.463,0.172,0.709,0.103,0,0,0,0.002,0.014
JM0094.003,M. sinensis,S Japan,36.055,138.463,0.2,0.716,0.075,0.002,0,0,0.001,0.005
JM0096.002,M. sinensis,N Japan,35.909,138.409,0.048,0.308,0.633,0.001,0.003,0.003,0.003,0.001
JM0098.001,M. sinensis,S Japan,35.472,138.291,0.186,0.672,0.104,0.013,0.007,0.004,0.003,0.01
JM0098.002,M. sinensis,S Japan,35.472,138.291,0.168,0.732,0.096,0.001,0,0,0.002,0
JM0099.001,M. sinensis,S Japan,35.472,138.291,0.197,0.658,0.125,0.001,0,0.001,0.018,0.001
JM0118.001,M. sinensis,S Japan,33.572,133.388,0.853,0.142,0,0,0,0,0.004,0
JM0118.002,M. sinensis,N Japan,33.572,133.388,0.007,0.017,0.957,0.01,0.001,0,0.003,0.005
JM0118.003,M. sinensis,S Japan,33.572,133.388,0.878,0.114,0.004,0.001,0,0.001,0.001,0.001
JM0119.001,M. sinensis,S Japan,33.565,133.381,0.912,0.081,0.001,0,0,0.001,0.005,0
JM0119.002,M. sinensis,S Japan,33.565,133.381,0.882,0.103,0.001,0.001,0,0.001,0.011,0
JM0125.001,M. sinensis,S Japan,31.533,131.239,0.884,0.083,0.007,0.01,0.002,0.001,0.012,0.001
JM0134.002,M. sinensis,N Japan,32.424,131.178,0.005,0.039,0.92,0.019,0.007,0.006,0,0.004
JM0216.001,M. sinensis,N Japan,44.22,142.05,0.004,0.007,0.98,0.004,0,0.002,0.001,0.003
JM0216.002,M. sinensis,N Japan,44.22,142.05,0.001,0.006,0.98,0,0,0.008,0.002,0.003
JM0220.001,M. sinensis,N Japan,41.45,140.08,0.018,0.085,0.883,0.004,0,0.002,0.001,0.007
JM0229.001,M. sinensis,S Japan,34.75,136.52,0.138,0.783,0.072,0,0.001,0,0.001,0.006
JM0229.002,M. sinensis,S Japan,34.75,136.52,0.133,0.769,0.071,0.008,0.001,0,0.012,0.006
JM0232.001,M. sinensis,S Japan,35.05,133.72,0.614,0.371,0.011,0.001,0,0.001,0.001,0
JM0232.002,M. sinensis,S Japan,35.05,133.72,0.627,0.338,0.021,0.001,0.001,0.002,0.011,0
