,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan,Entry1,group,Entry
201,PMS-272,Yangtze-Qinling,28.7,116.4,0.2,0.4,0,0,0.3,0,0,0,PMS-272,M. sinensis,135
209,PMS-285,Yangtze-Qinling,29.6,118.2,0.2,0.4,0,0,0.3,0,0,0,PMS-285,M. sinensis,136
217,PMS-293,SE China/tropical,31.3,119.7,0.1,0.2,0,0,0.6,0.1,0,0,PMS-293,M. sinensis,137
225,PMS-300,M. xgiganteus 2x,30.9,120.1,0.2,0.3,0,0,0,0,0.5,0,Miscanthus sinensis  'PMS-300',M. sinensis,160
233,PMS-303,Yangtze-Qinling,30.1,119.9,0.3,0.4,0,0,0.2,0,0,0,Miscanthus sinensis  'PMS-303',M. sinensis,161
241,PMS-306,Yangtze-Qinling,29.9,119.8,0.3,0.5,0,0,0.2,0,0,0,PMS-306,M. sinensis,138
249,PMS-314,Yangtze-Qinling,26.5,119.6,0.4,0.5,0,0,0.1,0,0,0,PMS-314,M. sinensis,139
257,PMS-339,SE China/tropical,25.7,115.8,0,0.2,0,0,0.8,0,0,0,PMS-339,M. sinensis,140
265,PMS-347,SE China/tropical,24.2,115.9,0,0.1,0,0,0.8,0,0,0,PMS-347,M. sinensis,141
273,PMS-351,SE China/tropical,24.1,115.6,0,0.1,0,0,0.9,0,0,0,Miscanthus sinensis  'PMS-351',M. sinensis,162
281,PMS-359,SE China/tropical,22.9,112.3,0,0.1,0,0,0.8,0,0,0.1,Miscanthus sinensis  'PMS-359',M. sinensis,163
289,PMS-375,SE China/tropical,19.6,110.3,0,0,0,0,0.7,0,0,0.3,Miscanthus sinensis  'PMS-375',M. sinensis,164
297,PMS-381,SE China/tropical,19,109.6,0,0,0,0,0.7,0,0,0.3,Miscanthus sinensis  'PMS-381',M. sinensis,165
305,PMS-382,SE China/tropical,18.9,109.5,0,0,0,0,0.7,0,0,0.2,Miscanthus sinensis  'PMS-382',M. sinensis,166
