<phenotype>,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9,Trait10,Trait11,Trait12,Trait13,Trait14,Trait15,Trait16,Trait17,Trait18
UI10.00085.Silberfeder,0.460049327,31.75960556,0.161124619,-0.04085086,-0.020570977,0.809778386,-0.076153476,-0.067998192,-0.26884675,-0.041705197,0.204605129,-0.553455257,-2.280658145,6.85495E-05,-0.080274699,1.22295633,0.282699782,-0.067542741
UI10.00086.Silberfeil,-0.379786413,-12.02040525,-0.288900638,-0.088310291,0.105500377,-0.087271597,0.386193361,0.355825694,0.431498247,-0.04019175,0.204990005,1.409270262,-3.835268682,-0.000201436,0.606779859,-0.659137561,-0.578925829,0.510541626
UI10.00087.Silberspinne,-1.15454947,-17.30842865,-0.364951262,-0.437290566,-0.628177585,-2.459137306,-1.698960346,-0.854976942,-1.107105131,-0.031148831,0.189943926,-0.413046855,4.220187795,0.000320836,-1.599017175,0.567346533,-1.559531236,-1.345405283
UI10.00088.Silberturm,1.093515044,18.53132216,0.328908338,0.303699621,0.368883929,2.03779701,1.60231705,0.991846169,0.654277141,-0.04019175,0.202757492,-0.326454999,-5.295538544,-6.26379E-05,1.612342311,0.006285641,1.259471413,1.356616987
UI10.00089.Sirene,-0.213543058,-21.43801748,-0.033979199,-0.078442475,0.118847825,-1.962276319,-0.886809748,-0.475974517,-0.373371336,-0.038857381,0.20107882,0.189614304,-0.442176807,-4.02894E-05,-0.853356128,-0.944878212,-0.018350792,-0.7180097
UI10.00090.Stardust,-0.235294113,-11.8559485,0.017444178,-0.301627659,0.67741242,5.381047038,-0.149037333,0.02363914,NA,-0.031148831,0.189943926,1.86587112,3.030277409,-0.000116225,0.054162561,-1.322748715,-0.33650573,0.045572115
UI10.00092.Strictus,-0.170965102,0.178118293,-0.062012493,-0.099148453,-0.076521643,-3.542880096,-1.254473537,-0.734854694,-0.389782303,-0.041442335,0.206192403,-0.209037699,-0.654824969,-0.000113234,-1.41562773,0.3486032,-0.286816355,-1.191102295
UI10.00094.Super.Stripe,-0.10012992,21.37256201,-0.005420383,-0.093789693,0.022259392,-1.346226561,-0.089721482,-0.156608504,0.056392198,-0.031148831,0.189943926,0.69040667,-7.785056552,0.000129876,-0.269845297,0.73406704,-0.338815081,-0.227046522
UI10.00096.Undine,-1.022235866,-18.60859488,-0.377122352,-0.235423913,-0.379584395,-2.895892224,-1.170286735,-0.594453426,-0.425096629,-0.041705197,0.204605129,0.920784971,3.272683486,-0.000180012,-1.093826782,0.08938564,-1.275186502,-0.920340541
UI10.00097.Variegatus,-0.863933258,-26.2321179,-0.324063714,-0.463743961,-0.326120732,-2.92397029,-0.838927817,-0.506578328,-0.287158074,-0.041705197,0.204605129,0.302592086,-3.322669743,-0.000180012,-0.915052745,-0.518373995,-1.090293917,-0.769920934
UI10.00099.Wetterfahne,-1.20166756,-30.02711858,-0.297875029,-0.564163652,-0.228880287,-4.246960514,-1.575847531,-0.929895212,-1.01874727,-0.040911785,-0.21237806,-0.058753374,-0.718468026,-0.000166924,-1.846096425,-1.044803094,-1.372517475,-1.553296563
UI10.00101.Yaku.Jima.Dwarf,-0.335647989,-8.195733392,-0.255044023,-0.181938577,-0.715169079,0.012270649,0.856386669,0.517379538,0.529109251,-0.041705197,0.204605129,-0.315255928,-4.918959624,0.000226119,0.765464855,1.396933318,-0.592664536,0.64405841
UI10.00102.Zebrinus,1.267285139,37.63903921,0.466373153,0.40547177,0.726358428,0.119997518,1.487632233,0.99168584,0.748816689,-0.037472089,0.196370482,-0.462650879,-5.136961582,-0.000202962,1.592203018,-0.110065006,1.448668533,1.339671883
UI10.00104.Zwergzebra,-1.069950197,-25.29325948,-0.39852072,-0.442569631,-0.157789093,0.25654332,-1.98480396,-0.962079942,-1.179825904,-0.041705197,0.204605129,1.011839276,3.658889863,-0.000180012,-1.8443297,-0.752983164,-1.383948722,-1.551810049
UI10.00106.transmorrisonensis,-0.728275717,-29.75295139,-0.296210821,-0.111663859,-0.56851702,-4.212124399,-2.027321706,-1.133407469,-0.92381831,-0.038857381,0.202620551,-0.548417206,3.371397146,0.000289336,-2.240062244,-0.015096815,-0.699890396,-1.884777489
UI11.00009.Positano,-0.893104115,-23.38790335,-0.381017352,-0.372419229,-0.703517008,-1.636312808,-2.095371086,-1.031807096,-1.240728177,-0.041705197,0.205315463,1.809696727,3.106661565,-0.000202692,-1.994029757,0.519879929,-1.178349271,-1.67776695
UI11.00024.Flamingo,0.643253939,36.46032112,0.367953885,0.491782496,-0.132116626,1.780839424,0.301010577,0.158382021,-0.079601061,-0.041705197,0.204605129,-0.914800717,-0.861635199,8.6908E-05,0.276210452,1.66038731,0.864988859,0.232402132
UI12.00001.Zwergelefant,-1.346132374,-33.14297216,-0.392433528,-0.562362918,-0.338053934,-0.579254131,-1.964466426,-1.2006491,-1.21317408,-0.041705197,0.204605129,1.643441825,3.252458333,-0.000202562,-2.411946769,-0.755851101,-1.60372864,-2.029400293
UI12.00002.Malepartus,0.94475445,28.37575458,0.451255231,0.452303901,0.073707391,-0.165374277,1.101532906,0.866089961,0.677988287,-0.041705197,0.204605129,0.498015903,-1.792924827,-0.00011236,1.361393961,0.866831488,1.248694403,1.145470265
