<phenotype>,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9,Trait10,Trait11,Trait12,Trait13,Trait14,Trait15,Trait16,Trait17,Trait18
PMS.130,-0.4494454,3.81238202,-0.082995765,-0.308214122,-0.619467037,-3.062855087,-1.94291133,-1.030770116,-1.522809391,-0.040911785,0.204459291,0.158781417,5.449679353,7.53971E-05,-1.982926545,1.622615778,-0.683392119,-1.668424761
PMS.131,-0.776759369,-26.45140686,-0.077531885,-0.329856049,-0.862274491,-5.521867912,-0.325107823,-0.330594173,-0.370375527,-0.036781674,0.201636221,1.396792351,3.030277409,-0.000200153,-0.541243106,0.932316438,-0.672559083,-0.45539932
PMS.134,0.001427936,21.42890431,-0.123857179,-0.031621946,-0.394027852,0.726497523,-0.420757373,-0.283465612,-0.457506495,-0.041705197,0.204605129,1.269276453,-0.064171167,-0.000180012,-0.648729193,1.778883589,-0.269994152,-0.545837592
PMS.144,-0.0930775,7.2766312,-0.218558479,-0.08582997,-0.157789093,0.671854033,-0.073934167,0.016768168,0.123551629,-0.041705197,0.204605129,0.91097451,-1.30519151,-0.000180012,0.036395777,0.605944541,-0.438657153,0.03062323
PMS.159,0.337471217,25.32730771,0.114221471,0.394671884,-0.329257952,-0.129399415,-0.581261004,-0.238517632,-0.342122577,-0.04019175,0.200877944,0.772012069,-1.351507024,-0.000202703,-0.407492956,1.773051501,0.393316959,-0.342862594
PMS.161,1.356101443,34.49064217,0.51792158,0.731308751,0.235614623,1.958187013,1.02960791,0.669758669,0.498760368,-0.04019175,0.203454808,0.376397025,-1.352554833,-0.000166924,1.109563149,0.687017245,1.733491058,0.933581043
PMS.164,0.601174118,20.32146875,0.200026226,0.242050687,0.556978863,0.481157062,0.652865366,0.481250807,0.32290869,-0.041705197,0.204605129,1.8134445,-2.502102085,-0.000202562,0.781217423,-0.382564305,0.666453909,0.657312544
PMS.178,0.259473333,-10.04358854,-0.00070498,0.372362446,0.134736062,0.919378632,-0.01975218,0.04906304,-0.212609038,-0.041705197,0.204605129,1.25971874,-0.905812205,-0.000202562,0.123960406,-0.608367905,0.51615457,0.104299684
PMS.183,1.140863008,39.85280256,0.308177923,0.645144949,0.336154864,1.516870364,1.470017004,0.979324438,0.710271504,0.059903753,0.204605129,1.8134445,-0.861635199,-9.13372E-05,1.745946761,0.656825458,1.257132523,1.469031122
PMS.204,1.407639568,40.29568466,0.399652408,0.703533385,0.561961884,2.053056616,2.184897455,1.452018837,1.225435627,-0.040911785,0.205420336,1.455142557,-5.473237905,-0.000180012,2.56603109,0.19671831,1.605590758,2.159046092
PMS.272,-0.228516444,-5.703853382,0.017303616,-0.115377517,-0.273728852,-4.067426381,-0.81328514,-0.604148317,-0.370375527,-0.031148831,0.189943926,-1.383522643,-1.004637213,-0.000116225,-1.078864956,0.405482473,-0.197013557,-0.907751733
PMS.285,0.636736228,17.42541284,0.056784979,0.15586391,0.424961445,2.568342478,0.801385526,0.644797649,0.076896339,-0.041705197,0.204605129,1.894698064,-0.861635199,-0.000202562,1.011950233,-0.245827485,0.528193844,0.851450009
PMS.293,1.935936883,49.99784258,0.626096067,0.937104122,0.900320696,4.285935759,2.809194942,1.52642161,1.443416776,0.364730602,0.204605129,0.292259817,-4.918959624,0.000152136,3.215341374,-0.179805397,2.299194667,2.705372611
PMS.300,0.425208433,15.38184567,0.0113661,-0.105463655,0.881878383,5.092458311,1.785401694,1.305950686,1.067570363,-0.040911785,0.205420336,1.898445838,-1.349368516,-0.000180012,2.115500271,-1.10672698,0.224130201,1.77997165
PMS.303,1.532688887,45.49207878,0.39666346,0.668879558,0.314054338,2.232330852,2.185321538,1.50841232,1.147753382,0.612619226,0.202757492,0.920784971,-2.586165271,-6.26379E-05,2.529340835,0.918211968,1.609993738,2.12817509
PMS.306,1.041080873,16.57077757,0.110344531,0.405434876,0.319279104,2.039549364,2.524309103,1.576431001,1.167389028,0.567948501,0.204605129,1.455142557,-5.473237905,-0.000157461,2.999595655,-0.04520234,1.045914914,2.523845211
PMS.314,1.73281562,55.46553349,0.529995789,1.024013022,0.814472701,4.068577911,2.301838003,1.439367445,0.885071357,0.059903753,0.204605129,1.094904338,-4.364681342,9.64118E-05,2.588491497,0.147084521,2.020454743,2.17794417
PMS.347,0.402854538,13.00595561,-0.12557865,0.014491069,0.55112343,1.61261431,2.1363471,1.344631502,1.017853549,-0.04019175,0.202757492,-0.703905764,-2.643598412,7.53971E-05,2.343091522,-0.563260031,0.09966676,1.971465823
PMS.359,-0.15369356,12.24777961,-0.234560771,-0.320567575,0.245166425,3.830531398,-0.08311794,-0.051724688,-0.684425966,-0.04019175,0.204990005,-0.830464507,3.125731767,0.00038519,-0.139839227,0.015376014,-0.670800357,-0.117660047
PMS.375,0.064189945,-22.22025385,-0.111775411,0.043322904,0.452137064,-1.668291079,0.755848631,0.40296198,0.26977606,-0.031148831,-2.547441345,-0.86109356,3.030277409,0.000408944,0.66768371,-1.353449553,0.188621047,0.56178583
