"","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues"
"CANE9233-US47-0011",-0.0319201828954427,0.0462670640824306,0.027390326150711,0.0896307607490721,0.0310555805326214,0.0319591220024808,0.0549503350770248,0.0257840188532755,-0.114512069542942,0.0388856550735078,0.039941860522237,0.113795440681181,0.0608358151821232,0.0629547178428622,0.0888350729845258,0.00000000007721290033601,0.0425499660411886,0.0736254239411449,0.0650086367034491,0.0528805294806105,-0.0621172428723676,0.0261619879696197,0.0549720352856342,0.0301398120005183,0.030962738024376,0.0177050051799007,0.0395099362301319,0.0967210894839085,0.0724982628312681,0.070013389900943,0.0654246418880911,0.004405414583126,0.104561610283038,0.0286349824107655,0.0571716001072091,0.0392852797587296,0.0128929480706385,0.094544293619035,0.0572728114833915,0.0252786808066101,0.088436105253534,0.0310129158083682,0.0219260728460159,-0.0773221527788521,0.0105642424739096,-0.0578875033118866,-0.020563438463509,0.119881878565391,0.0611260302079222,-0.11903978164072,0.0447708113569129,0.0699417253781842,0.0913527645213718,-0.005815956882783,0.00794091353120693,-0.135154792526492,0.14668014866687,-0.0958750933107237,-0.00746880062022363,0.0809794243490583,0.069217422292725,-0.0881206300821969,0.0053526428696919,0.00341387109329858,0.141727457522465,0.0500007420100148,0.00208244715005569,0.0637825470479606,0.0316961876525775,0.0474441555513073,0.0326729299723457,0.0662560376014941,0.0449958425470808,0.0512041289191547,-0.010593607966002,0.0470599547268451,0.0399787072155212,0.0159874527605333,0.0987860649401973,0.0246033675835878,0.0432408773233871,0.0176736986728563,0.0523989252065218,0.158120504136293,0.00596209111735367,0.0673469654248627,0.0216266892524618,0.111667835606264,0.115924857634009,0.0264322591683276,0.000000000340180568697515,-0.21237556862951,-0.00512588675337495,0.0987012698803635,0.0752551972466266,0.135032657400572,0.0448077876711791,-0.129434167944857,0.0180078986835219,-0.0900887166828223
"DC-2010-001-A",0.0500370898221944,0.0309644629694728,0.122578971898512,0.085879447915698,-0.00156314645708659,0.0616476547123155,0.0692650567090162,0.0676005265274371,0.0570887655883583,0.0553887004619956,0.0445865720165868,0.027613649305211,0.0933862843164254,0.0642507828653758,0.0103529949066065,0.0894285662188596,0.0536650993591297,0.0380808500825705,0.033945438249369,0.0505797741263243,0.0133229650906386,0.0277043693192146,0.00131677013419529,0.0930727694322928,0.0184894165086154,0.119526532161739,0.0543624018070708,0.0322535281368012,0.12058684992543,0.000000000412954611620082,0.0459274027322429,0.0157769886372646,0.0238019050677335,0.0210797019402146,0.0763320047820207,0.0745418735938581,0.0585503319294938,0.0725768214566372,0.0930939581334985,0.0182110965695609,0.00217299175425496,0.0325843942318489,-0.00622526407489452,0.010629039038892,0.0430607526721614,0.0505565946990127,0.014852796728127,0.0347155501509556,0.0395209471172363,0.0450471744328095,0.00728954076884693,0.0521674163783249,0.0254618858046784,0.0478727263952178,0.0425591597998033,0.0538994698945804,0.0470742683122363,0.0153084794734381,0.0394357081301689,0.0462043480353055,0.0378944423219318,0.0376850878574139,0.00209206488147573,0.00556472984374964,0.0325389091007993,0.0424562778650166,0.0783845320569645,0.0228647858323694,0.0723558594238687,0.0204593401358321,0.0434522305027398,0.0577471110991752,0.0925974288332907,0.033650351885688,-0.00294799138484208,0.0149909403107549,0.0592551836237687,0.123982752129236,0.0320563537618183,0.0439948892380173,-0.000000000138677556638107,0.0276541889081652,-0.0112522256542948,0.0510772986418915,0.0889803921127466,0.0276196529291566,0.0592076800820166,0.0632281785571648,0.0672566636954823,0.0780377511345711,0.0595692719721363,-0.00936237593411544,0.0909533162476257,0.0814386041252672,0.0624869400765182,0.0391856889414835,0.0151886160586251,0.0890165510388353,0.022192224659749,0.14177774032168
"DC-2010-001-E",0.068069508139356,0.0775183893419434,0.0371360204430836,0.102636391173067,0.0189849185182421,0.0237308507768824,0.10538121403508,0.0646297941849483,-0.00831490160958914,0.0692935309799572,0.0649591287011594,0.0348141880288758,0.0186123649927986,0.035173440774714,0.0540190007499477,0.0000000000567875063586838,0.0233035270117455,0.0215470452346882,0.0184684767593933,0.0272425775184486,0.055339707590167,0.0117159640958704,0.0541759698001566,0.0350380192717113,0.0281356077307806,0.153465295917595,0.00748774226908415,0.0428351642148913,0.107879245230024,0.0582575515820109,0.0176179508236474,0.0452378617208215,0.0788626526329972,0.0426954318268512,0.0432790657215742,0.0315997171096506,0.140222190224737,0.0636271622669895,0.0431280950476162,0.0638275332924385,0.0186676383587554,0.0192285136179543,0.0466671356995668,0.0585492864504124,0.06263314444029,0.00416609827587111,0.0486180824701293,0.0451418807566444,0.0259543279866466,0.116069964602612,-0.0227304304771953,0.0351646885133022,0.0478364894953964,0.066830980890736,0.0166334204729902,0.0483260790312683,0.0724327473559794,0.0662684385096641,0.0442877296598688,0.0681826474893868,-0.0033423921049309,0.0368799768019296,0.030077101621804,0.00258377893566902,0.092279345948767,0.0868929477601701,0.11754340370948,0.0657823688131442,0.117993335296459,-0.000000000058097294856558,0.0389347289825474,0.108974988694521,0.02008522088335,0.0661580577144668,0.0395951999453633,0.021352252882055,0.076953241282096,0.127210493989701,0.02709470719903,0.0426551997907474,0.1098223620644,0.0878841485240874,0.0564298036239685,0.0493864805023195,0.117734984475709,0.0297122964557048,0.0161027768589606,0.0971853831212919,0.0406999135049546,0.0544319698588994,0.0645486463171409,0.046211684550703,0.0518714265047917,0.0552932252935791,0.0671008876570367,0.0596875015579392,0.0279621942037198,0.0770805840560411,0.176002767142,0.0347994807077146
"KY-2009-001-B20-e",-0.0699428217527168,-0.0391248320191435,-0.0699838168822507,-0.0658201364985129,-0.12336301660312,-0.0965000515633503,-0.142846756699315,-0.0580031714359239,0.026697605016686,-0.0943303269678394,-0.150376338188292,-0.03824919984613,-0.0366524960776409,-0.142911914363932,-0.0578039477978313,-0.1495686453965,-0.0425566656171039,-0.180706872392206,0.000000000064133442755504,-0.0465895119367757,-0.156415763223466,-0.0414445140818171,-0.0834439763436918,-0.000000000498664759295375,-0.147746973592669,0.00362241356505553,-0.0689574174515792,-0.161423420271053,-0.0618275112951131,0.000000000120749826191588,-0.0634784522113724,0.0048817061539358,-0.0692089482951239,-0.0460817197383406,-0.13702358630912,0.0000000000564683924813303,-0.0603752381523797,-0.112567890931043,-0.216457906446848,-0.178524841184443,-0.077750365708342,-0.0545013085764537,-0.0601066445411093,-0.0401166666299952,0.158978498156098,-0.0897265887998584,-0.00000000018909518266441,-0.0837109904085983,-0.0308484508582777,-0.156508109602253,-0.137582846215945,-0.136358484838224,-0.0910581142586884,-0.115004689204495,0.000000000331431343887026,-0.0247039715407186,-0.0787531369281988,0.0847281070325902,-0.138758411735487,-0.0697173781489423,-0.00205455899099301,0.155994981571692,-0.00378882191018795,-0.0337989911634788,-0.017466841305492,-0.0709888534594462,-0.0321658244218142,-0.0813691321453119,-0.0224613139736758,-0.0487520590778767,-0.0637437589984234,-0.00373441060557466,-0.0167084412058793,-0.124564817444281,-0.13335757942017,-0.03545840751814,-0.0192390924553083,-0.0645686337342346,-0.0532960171463498,-0.0988420367654248,-0.0396065561266746,-0.0791304780145554,-0.0415958442790434,-0.189856374298931,-0.0603821832183311,-0.0305838339585357,-0.0691309973042239,-0.0406259828269303,0.134191303090171,-0.0608328858156562,-0.111017645253473,-0.0360801443957932,-0.0657946333506459,0.000000000101917662926526,-0.0705915055525126,-0.0534780528887081,-0.111427217886594,-0.0505532823483322,-0.200440631595012,-0.17141843725085
"KY-2009-001-C",0.224196167698779,0.436105162686074,0.572230290563837,0.467128583900948,0.327916713433259,0.746566798094353,0.523219773588679,0.195212044510241,0.0398691630433028,0.342836393591489,0.574057206410189,0.470156965993734,0.511340858832127,0.228997527867544,0.640871372209546,0.497979957967756,0.592466111443415,0.532639177218575,0.53509105012441,0.544392030731972,0.541244542870879,0.462592270729498,0.650718709609157,0.192269835250059,0.523258532416432,0.151367382459875,0.578261467188741,0.655934339242687,0.596334975505784,0.640999438546187,0.555641085579875,0.552752233188416,0.612212686610823,0.577191875359623,0.525310361897301,0.500271755259047,0.483812853392181,0.559752501915578,0.542699719953384,0.468222206884978,0.549549150870173,0.501686696435684,0.313878520059251,0.479659476565871,0.58926674219298,0.668821392087345,0.404470506211729,0.546120832816881,0.143120536978177,0.238403019546385,0.523425655386927,0.567426230970796,0.155676147206547,0.485366284745514,0.48418709817677,0.567690509629924,0.45551201188459,0.305089152534151,0.497060065632479,0.529281031934311,0.564698500597115,0.149120712453434,0.477226133820947,0.0951125285076355,0.429977767249915,0.00000000194299630030517,0.583927144014764,0.12906514791467,0.529228657235687,0.491896792406866,0.20327278768129,0.450428372412892,0.602131626081963,0.431075404644189,0.448248427236784,0.486775691657312,0.300462639736419,0.534422735122938,0.124268958920923,0.31814702820406,0.636081928746868,0.473960607996807,0.515411370212517,0.0162271272890187,0.519175564208391,0.484419758803875,0.547987376098608,0.573990868010169,0.466438441389452,0.417937992694695,0.432856529651062,0.642997343471898,0.569394067053309,0.419994255111903,0.552959535784332,0.548130452496969,0.0725323647477146,0.682570877154606,0.245089631210874,0.645484861977037
"KY-2009-001-D",0.440651398657809,0.332681913505635,0.363773186741954,0.29426426500498,0.428208745168505,0.359630909477795,0.415720504967379,0.397379769397421,0.034424033715436,0.126709605923221,0.337072562269291,0.0451232559337639,0.0663570987055028,0.356463084027217,0.115346207725641,0.00000000136741611243053,0.302246443387568,0.367740379583862,0.244013644440845,0.280120203916148,0.261692666811725,0.404059171938484,0.340534702368086,0.331645948759054,0.345973557450249,0.336395036322362,0.332019597448418,0.273418777262313,0.192995276903923,0.272471490356042,0.0618947700877662,0.312887264460986,0.301956770062761,0.247969700105577,0.338742308791308,0.31739410907236,0.047639938843906,0.408548879840869,0.107136406317372,0.0521023925071469,0.507112938087046,0.334993528206746,0.162183508094258,0.330952504506012,0.177966404212649,0.352589519244813,0.407269480655318,0.103324284206236,0.306573412621519,0.432678475734703,0.294616775948565,0.306040900873148,0.232412928181737,0.227204121770748,0.341232774564258,0.355047712697083,0.345659312979691,0.30174754766168,0.0829340825926299,0.0555146864184971,0.356827063892122,0.131518235313322,0.400566625460702,0.319056901190464,0.451645390567688,0.0612628697152581,0.00000000113198549823796,0.0811707916286582,0.358266687912313,0.00000000119453319656307,0.383038437712946,0.00000000123035750313135,0.30095296609077,0.00000000139146811211138,0.253439672813697,0.305928731425346,0.355862572582204,0.418203527974301,0.248858771465624,0.301888850022833,0.245337919333175,0.28310447578126,0.058287866697404,0.334400224778647,0.0200181427353797,0.0340399214796343,0.0862240737299153,0.0461577375045978,0.302962454713944,0.0422866403045409,0.00000000153925351644045,0.134952112106329,0.0611359820872865,0.448027461256021,0.215533900686995,0.29278605696196,0.129862226461079,0.324040984310367,0.424746588598254,0.234680527837675
"NC-2010-001-009",-0.101598789720344,-0.126594596904053,-0.109250707971869,-0.104742117562661,-0.160120631252058,-0.147859034605193,-0.107153905930595,-0.135176263346722,-0.0568891035241217,-0.161280851047967,-0.105475486337136,-0.182665688314119,-0.151079423591574,-0.134142929584924,-0.150357665851581,-0.0549076890032151,-0.161113801577925,-0.00000000107579386165746,-0.169956487361073,-0.132135957295665,-0.140892298624847,-0.114387509211781,-0.145636924920733,-0.128801744426642,-0.130077123601985,-0.122803285176587,-0.128665594213431,-0.105176250205526,-0.127427762628046,-0.134819747020344,-0.176020833251851,-0.171364015275665,-0.0715364537435186,-0.104753924162532,-0.102899935430104,-0.135500672872979,-0.130461976151895,-0.105113262701793,-0.193272161784148,-0.128155690532709,-0.0111325752349495,-0.0842527234406498,-0.144469179622726,-0.152887405478356,-0.124475517255123,-0.0785176153265664,-0.13645168065083,-0.137795115435664,-0.1259130525193,-0.14396156838807,-0.122809960315519,-0.146061113965415,-0.110316455663975,-0.156091759007488,-0.0954460897826099,-0.127603554903608,-0.155669516855018,-0.0988489761931728,-0.117388927896251,-0.14324013409513,-0.119794615664992,-0.128128572992698,-0.120557059014858,-0.0350558142779217,-0.0747701179288146,-0.110059205614317,-0.118484500787799,-0.136395113108084,-0.114158407482905,-0.124479664810739,-0.115176077417455,-0.000000000577605013459679,-0.0869234981118892,-0.0740100632211185,-0.10935758229143,-0.131820336710533,-0.124527203216936,-0.109627714217038,-0.172115423189667,-0.1325802010756,-0.142121396487181,-0.151853210135547,-0.0555504597639412,-0.10717840527208,-0.113404750588497,-0.050969513665294,-0.118349543575618,-0.113251176548727,-0.134961704528218,-0.0837780800185278,-0.163085241748444,-0.171706570077039,-0.151435113609232,-0.173958993251076,-0.0724551412391171,-0.176475760983163,-0.133842318181441,-0.215491874140692,-0.154628335782945,-0.134764530976272
"NC-2010-001-010",0.0473466816658125,0.109060235217559,0.119680641136368,0.0545248948056771,0.116377131803108,0.0724470053014703,0.0712135912462167,0.213901921286854,0.0779619647166988,0.0109067485575567,0.0487615276088944,0.0863209368854979,-0.054451206615936,0.0972342973298035,0.07496402654305,0.0527601838816887,-0.0643783489736138,0.0621555914858764,0.0874649735949504,0.0809024014474917,-0.0631093048388887,0.0617453404659652,0.013110392576809,0.145475187488904,0.0984336393104386,0.184233200521902,0.161010272772665,0.227873144924321,0.119197675039475,0.0965281226411457,-0.0708684882717906,0.00524214593091664,0.114047542019353,-0.0681317506146642,0.105849109621552,0.0524345072717186,0.135886157518629,0.124846362547894,-0.0782067254829053,0.148527275730058,0.0600698604351038,0.114772825205123,0.0196497609021724,0.0742285201937736,0.200782612421848,0.256079843223585,0.109224852189235,0.126147715978343,0.0922390054959062,0.238372146433784,0.074791419413956,0.0157478274518366,0.0921223042180893,0.182682014582339,0.0902752163723063,0.0368281544966457,0.144505294263153,0.14226553668904,0.17145320304912,0.0894662772302483,0.126920631680577,0.0787659040660374,0.100119804868189,-0.00186038140924453,0.0747651990916158,0.0493006118093583,0.218103981540271,0.0879335913637064,0.17143140512845,0.0819948789380204,0.102688667542916,0.0473287886553376,-0.00295190312605374,0.173612021382431,0.149143871305781,0.0323746079182368,0.130018257320283,0.158513074436171,0.0320722237471616,0.118057235399837,0.211586197121802,0.120617712109861,0.104473721474409,0.116370834432693,0.117798823302629,0.0896650264704915,0.212863710186467,0.133974551512701,0.122363987216222,0.210513855824933,0.1448936877916,0.237549079408089,0.136857124022727,-0.0835355983013155,0.120911608321312,0.346993508588782,0.0743968608094246,-0.042750848136993,0.0896959234747918,0.287010384605403
"NC-2010-001-5-B18-a",0.458218373283375,-0.0936850002696148,0.436156044928974,-0.0291829222415086,0.39436935273417,-0.075943328219724,-0.112974567462873,0.316587494249475,0.251219892649601,0.312500282502492,0.127665943403532,0.275935174813809,0.0630729104959276,0.272249644529429,0.291201148967335,0.135054502359964,0.253885918813948,0.315357769627452,0.267607622971038,0.385634017402623,0.11463428136967,0.172606863773847,-0.0375427017583039,0.324689098071558,0.337670344503784,0.207976286449815,0.24026701252689,0.4976941071784,-0.0391610415422021,0.345279768434172,0.248485562032897,0.236215948406752,0.264353111764745,0.267150234070907,0.182735254642504,0.216308383860441,0.253712934832919,0.263163271303625,0.223960903677779,0.310237165148636,0.45964091760741,0.228451571359596,0.508456161800276,0.291917625032138,0.156375540316203,0.282671002166965,0.000000000428921466257066,0.134774073051838,-0.0821798381094328,0.456898246358387,0.222925617631128,0.365280416152853,-0.0495300584406569,0.339035362191127,0.528418723755118,0.325688228231025,0.309105216058329,0.236474247834998,0.306781633214593,0.284315430629649,0.364427089879184,0.281846424072443,0.288503454547005,0.446219878979081,0.304860899924356,-0.0309008986137246,0.0697899348097475,0.282897174489775,0.2637150988203,0.216533051857167,-0.0394089654056055,0.39889141409205,0.352051487113493,0.244136790281129,0.242667711594247,0.327429690486934,0.425645573732399,0.195171165841877,0.152623948131167,0.300830797981291,0.391405986961822,0.162404318342026,0.255688736001712,0.00172725367805937,0.244772883981271,-0.0547309806956381,0.156320766913541,0.307180281059168,0.459881207876085,0.287255258053163,0.236654518094643,0.237361793748395,-0.0545197208931071,0.418574689677754,0.499447851282474,0.253447324223915,0.357129237674722,0.213951131743604,0.302438528332057,0.354623954921347
"NC-2010-001-5-C",0.205701170587201,0.196837734967402,-0.206951677251315,0.149895834995346,0.181163402118041,0.0377776180371975,0.0702073447830389,0.210771823827272,0.283763426196147,0.12603158607522,0.164152270818665,0.419718709555967,0.193732146931546,0.224539141706186,0.099473367277931,0.217468137690887,0.272866782530291,0.136103571346245,0.121398791217309,0.0865243786387638,0.270413122420446,0.134940932142023,0.17488034306585,-0.210067584068813,0.144183291676048,0.265886318490796,0.279023346226483,0.256983163305874,0.108029116887576,0.169970833024647,0.384441114114034,-0.146005933099946,0.0414414607804329,0.0464479276741801,-0.121639909578927,0.197674581437847,-0.110127285269081,-0.159530812736257,0.0299781897395659,0.163747081417898,-0.000909432268953351,0.311123571755109,0.389796873292236,0.161448470518445,0.222702686967952,0.216642078599232,0.174141535849668,0.203577769498665,0.158674005061223,0.107687927751165,0.0972443637558276,0.122645847726623,0.247136589346697,0.127679735698852,0.147996684757385,0.192041048067891,0.000000000233382199627366,-0.00952558223367369,0.0206587809456608,0.219594885678489,0.284973989136471,0.159722364395282,0.0490487222392035,0.176835291098614,0.0911047752684293,0.0000000000780382281896028,0.0876726409284794,0.126913809109268,0.221540888681488,-0.156450027566403,0.12647199040976,0.18031951044264,0.131047763430758,0.205086501299985,0.0763327899237041,0.0000000000866271517524678,-0.152232154488364,0.141502590155108,-0.0977961413119899,0.132018660749261,0.204291752694546,0.141967201169644,0.115885629652422,0.316567816216954,0.209599199755585,-0.196772582444392,0.2902349137652,0.28436865361228,0.165991637671037,0.0639529125702957,-0.219555974653811,0.327688948278629,0.0131119017587142,0.0836634912668243,0.0659867848204565,-0.00000000000156703570306084,-0.203796187638118,0.0294936100081787,0.0759388174240996,0.196958656767164
