"<phenotype>","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18"
"NC.2010.001.B44.e",-0.421769377,-10.73259819,-0.08681296,-0.216804793,-0.723395948,-1.70335311,-0.227392541,-0.278446301,-0.426162015,-0.04019175,0.203454808,0.655335558,-1.352554833,-0.0000865,-0.496234360880788,1.21122162495123,-0.474243446174026,-0.417529180342689
"NC.2010.002.001",-1.387326187,-31.89218124,-0.398371564,-0.611336101,0.022259392,-5.944210681,-1.43697185,-1.03099025,-0.489307282,-0.031148831,0.189943926,-1.383522643,3.030277409,0.0000262,-2.01088144854093,-1.12555043420851,-1.72042953980228,-1.69194588126627
"NC.2010.003.D",-0.021479348,-3.77421862,-0.061003313,0.152333204,-0.214399496,-2.704912341,-0.873954301,-0.421470384,-0.436001867,0.090370445,0.202757492,-1.207915272,1.493249895,0.0000386,-0.880549510683276,0.249134362599857,0.0165204280119102,-0.740890080273076
"NC.2010.003.E",-0.32801294,-25.51463976,-0.058911274,0.546184624,-0.268294767,-1.799308121,-0.185927015,-0.275920349,-0.281509359,-0.031148831,0.19722337,0.351834092,-0.863625463,-0.000183382,-0.437904704673112,-0.676362812466264,0.390111658551201,-0.368450891008706
"NC.2010.004.E",-0.537937846,-10.59083672,-0.060238889,0.09535035,-0.49822194,-7.142597612,-2.240407358,-1.15088118,-1.107105131,-0.031148831,0.189943926,-1.383522643,4.220187795,-0.000200153,-2.24423694640304,0.706254753735873,-0.368263519422882,-1.88829006344452
"PA.2010.001.005",0.441443755,10.7536162,0.203721505,0.152080292,0.218929916,1.366914852,0.872127681,0.569758244,0.388755174,-0.041705197,0.204605129,0.721856409,-0.905812205,-0.000134911,0.945076304576131,-0.0318129505641763,0.575617681629064,0.795182611161955
"PA.2010.002.004",-0.151696208,-4.91471691,0.026357185,-0.167346341,0.116528982,0.074647903,-0.428095678,-0.176722548,-0.2721294,-0.041121758,0.204121283,1.520242325,-1.98012246,-0.000119199,-0.357116298195453,-0.403072652700033,-0.135833011237013,-0.300475918299112
"PA.2010.002.013",-0.245504505,-10.40909766,-0.052659366,-0.076920817,0.073220569,-3.342203394,-0.833748667,-0.58184323,-0.387996286,-0.038857381,-0.375210772,0.40020329,0.859163088,-0.000150164,-1.14868181303917,-0.474219291964722,-0.179939639286372,-0.966495296787197
"PA.2010.002.015",-0.331452755,-0.8222507,-0.08170044,-0.40483024,0.376515254,-3.19537472,-0.199236876,-0.01336286,-0.025199316,-0.031148831,0.189943926,-1.383522643,0.437492125,-0.000200153,0.00904716870005657,-0.590813733950003,-0.581731289894846,0.00761224375789748
"PA.2010.002.B3.b",-0.041158674,-15.18061792,-0.526377148,-0.283930841,0.290917397,-7.23029205,-1.744641685,-0.984563621,-0.542153471,-0.031148831,0.19722337,-1.383522644,4.361199545,-0.0000995,-1.91958032600275,-0.985415342009521,-0.54182637131162,-1.6151255602951
"PA.2010.002.E",-0.58488063,-8.64251256,-0.209771179,-0.285657289,-0.273728852,-3.749777598,-0.908416731,-0.599443309,0.129891389,-0.031148831,0.189943926,-1.383522643,1.774609227,0.000129876,-1.18968902109026,0.285347679102589,-0.829259465818373,-1.0009985624504
"PI230189.US56.0022.03",1.994607856,47.76588272,0.990796643,0.852832964,1.690373019,3.359127427,2.761471854,1.221018394,1.330226236,-0.041705197,-1.748550226,-2.043615236,3.658889863,0.000452065,2.76596734353571,-1.20094505625098,2.6894276754536,2.32727148481001
"PI294602.US64.0004.02",1.795304377,25.18459281,0.711462887,0.746097259,1.257457916,6.298170999,3.118345388,1.207708403,1.619916094,-0.041705197,-1.748550226,-1.754499047,0.025477424,0.000458607,3.21085411279541,-1.33426338399319,2.49383441186067,2.70159705104756
"PMS.009",0.394466129,16.46766391,0.243662075,0.325400375,-0.34312327,3.154369121,1.856637853,1.117329943,0.763134603,0.364730602,0.204605129,-0.662222652,-0.905812205,0.0000303,1.84430560986798,1.52438708691491,0.605601660450956,1.55178977986044
"PMS.014",1.750999016,70.62290422,0.685142132,0.780137829,0.266593302,3.10801073,2.749284024,1.430346515,1.239133019,0.675534448,0.204605129,-0.387485199,-1.837101833,0.000152136,3.02411097149716,1.86439747375689,1.80386872237085,2.54447227922339
"PMS.038",1.341475112,26.35757497,0.380932162,0.775084421,0.648854235,4.130611,2.18752814,1.351693517,0.913060012,0.059903753,0.204605129,-0.951338841,3.658889863,0.000175583,2.27476382104494,-0.343137283057891,1.66432204265596,1.91397522742646
"PMS.087",0.823013663,30.72293916,0.100472095,0.512425195,0.372192769,2.847919351,1.08181855,0.814470967,-0.059460297,-0.037472089,0.197400496,0.379230686,-0.53310438,-0.000194184,1.31052623653806,0.344100218625079,0.801574563844351,1.10267040844972
"PMS.130",-0.4494454,3.81238202,-0.082995765,-0.308214122,-0.619467037,-3.062855087,-1.94291133,-1.030770116,-1.522809391,-0.040911785,0.204459291,0.158781417,5.449679353,0.0000754,-1.98292654526295,1.62261577759052,-0.683392118534747,-1.6684247614236
"PMS.131",-0.776759369,-26.45140686,-0.077531885,-0.329856049,-0.862274491,-5.521867912,-0.325107823,-0.330594173,-0.370375527,-0.036781674,0.201636221,1.396792351,3.030277409,-0.000200153,-0.541243106393213,0.932316438132376,-0.672559083342124,-0.455399320187045
"PMS.134",0.001427936,21.42890431,-0.123857179,-0.031621946,-0.394027852,0.726497523,-0.420757373,-0.283465612,-0.457506495,-0.041705197,0.204605129,1.269276453,-0.064171167,-0.000180012,-0.648729193473169,1.77888358931494,-0.269994151726835,-0.54583759162578
"PMS.144",-0.0930775,7.2766312,-0.218558479,-0.08582997,-0.157789093,0.671854033,-0.073934167,0.016768168,0.123551629,-0.041705197,0.204605129,0.91097451,-1.30519151,-0.000180012,0.0363957771993127,0.605944541188931,-0.438657153089526,0.0306232301185667
"PMS.159",0.337471217,25.32730771,0.114221471,0.394671884,-0.329257952,-0.129399415,-0.581261004,-0.238517632,-0.342122577,-0.04019175,0.200877944,0.772012069,-1.351507024,-0.000202703,-0.407492956324017,1.77305150138787,0.393316959464971,-0.342862593700618
"PMS.164",0.601174118,20.32146875,0.200026226,0.242050687,0.556978863,0.481157062,0.652865366,0.481250807,0.32290869,-0.041705197,0.204605129,1.8134445,-2.502102085,-0.000202562,0.78121742283044,-0.382564305378931,0.666453908930704,0.65731254414555
"PMS.178",0.259473333,-10.04358854,-0.00070498,0.372362446,0.134736062,0.919378632,-0.01975218,0.04906304,-0.212609038,-0.041705197,0.204605129,1.25971874,-0.905812205,-0.000202562,0.123960406185866,-0.608367904548502,0.516154570439225,0.104299683527907
"PMS.183",1.140863008,39.85280256,0.308177923,0.645144949,0.336154864,1.516870364,1.470017004,0.979324438,0.710271504,0.059903753,0.204605129,1.8134445,-0.861635199,-0.0000913,1.74594676079211,0.656825457752486,1.25713252251808,1.46903112211009
"PMS.204",1.407639568,40.29568466,0.399652408,0.703533385,0.561961884,2.053056616,2.184897455,1.452018837,1.225435627,-0.040911785,0.205420336,1.455142557,-5.473237905,-0.000180012,2.56603108993339,0.196718310179784,1.6055907580306,2.15904609239004
"PMS.272",-0.228516444,-5.703853382,0.017303616,-0.115377517,-0.273728852,-4.067426381,-0.81328514,-0.604148317,-0.370375527,-0.031148831,0.189943926,-1.383522643,-1.004637213,-0.000116225,-1.07886495627187,0.405482472951806,-0.197013556755812,-0.907751732734433
"PMS.285",0.636736228,17.42541284,0.056784979,0.15586391,0.424961445,2.568342478,0.801385526,0.644797649,0.076896339,-0.041705197,0.204605129,1.894698064,-0.861635199,-0.000202562,1.01195023279905,-0.245827485318392,0.528193843637584,0.851450009471527
"PMS.293",1.935936883,49.99784258,0.626096067,0.937104122,0.900320696,4.285935759,2.809194942,1.52642161,1.443416776,0.364730602,0.204605129,0.292259817,-4.918959624,0.000152136,3.21534137445561,-0.179805397364438,2.29919466664008,2.7053726112077
"PMS.300",0.425208433,15.38184567,0.0113661,-0.105463655,0.881878383,5.092458311,1.785401694,1.305950686,1.067570363,-0.040911785,0.205420336,1.898445838,-1.349368516,-0.000180012,2.1155002713169,-1.10672697965064,0.224130200622486,1.77997165044416
"PMS.303",1.532688887,45.49207878,0.39666346,0.668879558,0.314054338,2.232330852,2.185321538,1.50841232,1.147753382,0.612619226,0.202757492,0.920784971,-2.586165271,-0.0000626,2.52934083529192,0.918211968230956,1.60999373791946,2.12817509037796
"PMS.306",1.041080873,16.57077757,0.110344531,0.405434876,0.319279104,2.039549364,2.524309103,1.576431001,1.167389028,0.567948501,0.204605129,1.455142557,-5.473237905,-0.000157461,2.99959565481974,-0.0452023395186052,1.04591491363227,2.52384521086456
"PMS.314",1.73281562,55.46553349,0.529995789,1.024013022,0.814472701,4.068577911,2.301838003,1.439367445,0.885071357,0.059903753,0.204605129,1.094904338,-4.364681342,0.0000964,2.58849149668353,0.14708452050841,2.02045474343772,2.17794416950349
"PMS.347",0.402854538,13.00595561,-0.12557865,0.014491069,0.55112343,1.61261431,2.1363471,1.344631502,1.017853549,-0.04019175,0.202757492,-0.703905764,-2.643598412,0.0000754,2.3430915217799,-0.563260030890793,0.0996667600185919,1.97146582285395
"PMS.359",-0.15369356,12.24777961,-0.234560771,-0.320567575,0.245166425,3.830531398,-0.08311794,-0.051724688,-0.684425966,-0.04019175,0.204990005,-0.830464507,3.125731767,0.00038519,-0.13983922740962,0.0153760144790837,-0.670800357239784,-0.1176600465491
"PMS.375",0.064189945,-22.22025385,-0.111775411,0.043322904,0.452137064,-1.668291079,0.755848631,0.40296198,0.26977606,-0.031148831,-2.547441345,-0.86109356,3.030277409,0.000408944,0.667683709929121,-1.35344955253063,0.188621047141052,0.561785829660477
"PMS.381",1.118851204,0.261425348,0.754769518,0.247063567,0.56367021,7.695904421,2.487757957,1.232721995,1.16532587,-0.039158649,-2.704279025,-1.872102322,3.608756378,0.000446543,2.60537603482232,-0.93860369586171,1.99501648498844,2.19215073785401
"PMS.397",1.343270041,50.62827421,0.600483104,0.651368468,1.298566379,1.701278314,2.829162113,1.104872615,1.199759821,-0.041705197,0.204605129,-0.397817468,1.234199111,0.00017481,2.91161758454216,-0.757151355142602,1.65851967059556,2.44982088997208
"PMS.425",0.937945094,21.9635554,0.096923689,0.531807016,0.28351964,1.313768209,1.715414481,1.034347642,1.139975314,0.090370445,0.202757492,-0.703905764,-2.586165271,0.000112241,2.03371766182555,0.242575762016789,0.954885365629783,1.71116016013591
"PMS.436",-1.692368245,-66.32094282,-0.663770118,-0.788585588,-1.224324746,-1.060161151,-2.188279057,-1.215265527,NA,-0.033109203,-2.618607507,1.747890899,3.542883098,-0.000012,-2.46390419015516,-1.24855258202022,-1.71235502217243,-2.07311701508272
"PMS.438",-1.586747267,-35.07363804,-0.675895465,-0.635204401,-1.332780003,-0.559023212,-2.393148524,-1.183421998,-1.594438778,-0.041705197,0.204605129,1.544513334,3.272683486,-0.000180012,-2.3333856275045,1.61866791211123,-2.17993758957163,-1.96329933056281
"UI10.00012.Cabaret",0.277077807,-3.651691423,0.156628794,0.298964604,0.318879273,0.622985704,0.18837278,0.213360133,0.045463481,-0.041705197,0.204605129,-0.303428809,-0.49455455,0.000108686,0.267118509067339,-0.814986021128723,0.601027225113736,0.224752215779669
"UI10.00015.Cosmopolitan",1.023634427,1.146488307,0.510849935,0.757906725,-0.005107724,1.600735866,0.373880306,0.117224325,-0.122598704,-0.041705197,0.204605129,-0.625684528,-0.418078887,0.000323775,0.204718210810676,0.11705179642425,1.76069280315504,0.172248907989235
"UI10.00017.condensatus",0.116579921,0.230825255,0.014606562,0.086354417,-0.052117589,1.055260533,-0.59446103,-0.17296454,-0.291564668,-0.041705197,0.204605129,-0.206488533,-0.35289574,-0.000157461,-0.587430057777242,0.0351501797032984,0.196945375886533,-0.494260796664114
"UI10.00020.Adagio",-1.444933179,-42.57589451,-0.68720207,-0.676121084,-1.135648691,-1.523310791,-1.871258077,-1.039735855,-2.212015396,-0.038857381,0.202615415,-1.628318749,7.633927259,0.000146647,-2.06680326671014,0.0724024241125543,-1.902623876333,-1.73899822734766
"UI10.00021.Allegro",-0.516117667,-7.841102514,-0.247327032,-0.238790074,-0.375175269,-0.163720375,0.033606109,0.185351452,0.216295893,-0.042669239,0.205515805,0.11596875,-5.295538544,-0.000202562,0.243553824941128,0.483759020000017,-0.776802449839983,0.204925005039574
"UI10.00022.Altweibersommer",0.261421674,44.31216754,0.143505976,-0.3424802,0.587938684,3.583663646,1.195195663,0.854243623,0.785535884,-0.04019175,0.200877944,0.920784971,-1.408940166,-0.000202703,1.36227345086721,0.297798921857156,-0.108037908309822,1.14621026315938
"UI10.00023.Andante",0.030876105,4.35895116,0.011136113,-0.126321185,-0.353179891,-1.257895468,-1.604321849,-0.74891396,-0.663383073,-0.041705197,0.204605129,-0.914800717,0.404436422,-0.0000688,-1.4575432552833,0.960816236443247,-0.0665174116566253,-1.22636981372798
"UI10.00024.Arabesque",-0.479621385,-4.50774572,-0.21993147,-0.312980274,-0.586916076,0.663627679,-0.441951062,-0.211456155,-0.472035539,-0.037472089,0.199668157,-0.964504845,-1.586507987,0.0000906,-0.345027934411153,1.17542166656199,-0.788339179086303,-0.2903048277434
"UI10.00025.Autumn.Light",-0.435542926,-12.19747177,-0.362656011,-0.222226577,-0.347544265,-1.858098442,-0.848459418,-0.289343077,-0.606122355,-0.037472089,0.196370482,1.278885248,1.039051373,0.0000344,-0.751788443895018,0.247541707550565,-0.783878429193437,-0.632551144251497
"UI10.00026.Ben.Graz",-0.841216038,-10.09365713,-0.255446061,-0.431249402,-0.513479069,-3.425807442,-1.801938488,-0.935329317,-1.160022837,-0.041705197,0.204605129,-0.625684528,1.176849177,-0.000180012,-1.80327550066961,0.819162034197163,-1.1669150073034,-1.51726724530646
