"","x"
"1",0.32659857121388
"2",0.209261236595182
"3",0.384238975183219
"4",0.258355166298135
"5",0.308727781926743
"6",0.315299403766808
"7",0.331405978255533
"8",0.308513578357759
"9",0.242292952126246
"10",0.236456788678924
"11",0.302264169386452
"12",0.327127176973239
"13",0.342230955239134
"14",0.312048403583661
"15",0.339715837514618
"16",0.351709929821198
"17",0.292449381032708
"18",0.228654501650591
"19",0.302109922701202
"20",0.28543818388209
"21",0.192987377578496
"22",0.356248098305299
"23",0.15711744743759
"24",0.153971235488937
"25",0.346588276094314
"26",0.200445877931181
"27",0.28442450077487
"28",0.320505628890212
"29",0.340969291265348
"30",0.302110021433193
"31",0.303219499818714
"32",0.324408839195254
"33",0.314049186487175
"34",0.37320944515446
"35",0.343075635592218
"36",0.212407284785642
"37",0.234808525867014
"38",0.342625171635792
"39",0.342260919267499
"40",0.358821479836933
"41",0.344367032280905
"42",0.32417806375468
"43",0.348355046326036
"44",0.318986262642805
"45",0.247266367034408
"46",0.313715543848458
"47",0.308364794903569
"48",0.288744856063301
"49",0.250558828542644
"50",0.168838272838344
"51",0.287254375172808
"52",0.303410763388603
"53",0.298066029318204
"54",0.276918962757753
"55",0.326964283569939
"56",0.341869341980335
"57",0.350031514070159
"58",0.285733484148663
"59",0.236607218402573
"60",0.31867429443933
"61",0.293788138877284
"62",0.282089774359728
"63",0.242338204080655
"64",0.319564868834009
"65",0.343862770639271
"66",0.369947693824728
"67",0.326210311291945
"68",0.360116992721156
"69",0.28562251794322
"70",0.235324384549402
"71",0.273031293703037
"72",0.214463017423554
"73",0.30154014814706
"74",0.333669519731873
"75",0.317214914084813
"76",0.325837034164472
"77",0.294007622176022
"78",0.336443527832337
"79",0.290223046310814
"80",0.278431716863738
"81",0.315519568936089
"82",0.348816819654888
"83",0.367682485682163
"84",0.213174770115028
"85",0.312045593104716
"86",0.279214674530737
"87",0.290070516309589
"88",0.264302530618406
"89",0.318724508235433
"90",0.301639521705853
"91",0.334418942666685
"92",0.260560421001079
"93",0.340881976981672
"94",0.328312574327874
"95",0.35373565671558
"96",0.3085928210986
"97",0.333309867817482
"98",0.213024004212843
"99",0.300835651574828
"100",0.314940571523089
