cof_marker,Estimate,Std. Error,t value,Pr(>|t|)
cof_fwd_tKorea.N.China,-258.459070476284,155.098906526027,-1.66641452390196,0.0983523900113488
cof_fwd_tYangtze.Qinling,-257.527717671313,155.119052489646,-1.66019398351149,0.09959983139931
cof_fwd_tCentral.Japan,-256.760049930342,154.958945275023,-1.65695532758461,0.100254341921652
cof_fwd_tNorth.Japan,-260.008975611383,155.278090714182,-1.67447303361024,0.0967551975037653
cof_fwd_tSE.China,-254.948398418452,155.090243428432,-1.64387128927359,0.102933980874247
cof_fwd_tSouth.Japan,-260.013625918147,155.104467987381,-1.67637740738263,0.0963808380733125
cof_fwd_tMsa,-258.958733595972,155.24599606624,-1.66805418598673,0.0980256925742101
cof_fwd_tSichuan,-255.450623827296,155.123059798099,-1.64676112087899,0.102337225124533
